start, goal, path_length, nodes_visited, time, num_evax
45 38 194, 149 5 210, 178, 53252, 0.28362, 1
45 38 194, 149 5 210, 178, 53252, 0.288365, 1
45 38 194, 149 5 210, 178, 53252, 0.279132, 1
45 38 194, 149 5 210, 178, 53252, 0.281908, 1
45 38 194, 149 5 210, 178, 53252, 0.279812, 1
45 38 194, 149 5 210, 178, 53252, 0.281101, 1
45 38 194, 149 5 210, 178, 53252, 0.281006, 1
45 38 194, 149 5 210, 178, 53252, 0.280473, 1
45 38 194, 149 5 210, 178, 53252, 0.285622, 1
45 38 194, 149 5 210, 178, 53252, 0.280446, 1
45 38 194, 149 5 210, 178, 53252, 0.280846, 1
45 38 194, 149 5 210, 178, 53252, 0.283963, 1
45 38 194, 149 5 210, 178, 53252, 0.288513, 1
45 38 194, 149 5 210, 178, 53252, 0.281825, 1
45 38 194, 149 5 210, 178, 53252, 0.283577, 1
45 38 194, 149 5 210, 178, 53252, 0.279997, 1
45 38 194, 149 5 210, 178, 53252, 0.28432, 1
45 38 194, 149 5 210, 178, 53252, 0.290422, 1
45 38 194, 149 5 210, 178, 53252, 0.283255, 1
45 38 194, 149 5 210, 178, 53252, 0.289784, 1
