start, goal, path_length, nodes_visited, time, num_evax
107 70 17, 12 5 79, 2, 9278, 0.203309, 30
107 70 17, 12 5 79, 2, 7160, 0.116548, 30
107 70 17, 12 5 79, 2, 7062, 0.1047, 30
107 70 17, 12 5 79, 2, 4738, 0.0562565, 30
107 70 17, 12 5 79, 2, 8827, 0.160693, 30
107 70 17, 12 5 79, 2, 5788, 0.0733347, 30
107 70 17, 12 5 79, 2, 7413, 0.0957285, 30
107 70 17, 12 5 79, 2, 6989, 0.0691896, 30
107 70 17, 12 5 79, 2, 5924, 0.0585256, 30
107 70 17, 12 5 79, 2, 6351, 0.0493877, 30
107 70 17, 12 5 79, 2, 6912, 0.126388, 30
107 70 17, 12 5 79, 2, 6734, 0.098854, 30
107 70 17, 12 5 79, 2, 2800, 0.0387531, 30
107 70 17, 12 5 79, 2, 9012, 0.138928, 30
107 70 17, 12 5 79, 2, 6697, 0.109021, 30
107 70 17, 12 5 79, 2, 9265, 0.131739, 30
107 70 17, 12 5 79, 2, 7390, 0.103591, 30
107 70 17, 12 5 79, 2, 7057, 0.0992106, 30
107 70 17, 12 5 79, 2, 6410, 0.0887831, 30
107 70 17, 12 5 79, 2, 7410, 0.080456, 30
107 70 17, 12 5 79, 2, 8478, 0.097886, 30
107 70 17, 12 5 79, 2, 7580, 0.108495, 30
107 70 17, 12 5 79, 2, 6768, 0.119766, 30
107 70 17, 12 5 79, 2, 9204, 0.139918, 30
107 70 17, 12 5 79, 2, 5232, 0.0754026, 30
107 70 17, 12 5 79, 2, 6899, 0.0950227, 30
107 70 17, 12 5 79, 2, 17044, 0.2307, 30
107 70 17, 12 5 79, 2, 6735, 0.117316, 30
107 70 17, 12 5 79, 2, 5753, 0.0793142, 30
107 70 17, 12 5 79, 2, 8636, 0.114448, 30
107 70 17, 12 5 79, 2, 9164, 0.127896, 30
107 70 17, 12 5 79, 2, 9375, 0.116561, 30
107 70 17, 12 5 79, 2, 6145, 0.0746256, 30
107 70 17, 12 5 79, 2, 10660, 0.148484, 30
107 70 17, 12 5 79, 2, 5332, 0.0736465, 30
107 70 17, 12 5 79, 2, 5995, 0.079596, 30
107 70 17, 12 5 79, 2, 6860, 0.0862525, 30
107 70 17, 12 5 79, 2, 5449, 0.0740547, 30
107 70 17, 12 5 79, 2, 7125, 0.0921614, 30
107 70 17, 12 5 79, 2, 30722, 0.339149, 30
107 70 17, 12 5 79, 2, 6394, 0.100002, 30
107 70 17, 12 5 79, 2, 7131, 0.097529, 30
107 70 17, 12 5 79, 2, 15686, 0.190699, 30
107 70 17, 12 5 79, 2, 6429, 0.0890637, 30
107 70 17, 12 5 79, 2, 7888, 0.0921089, 30
107 70 17, 12 5 79, 2, 13692, 0.186522, 30
107 70 17, 12 5 79, 2, 4634, 0.0579286, 30
107 70 17, 12 5 79, 2, 9506, 0.121349, 30
107 70 17, 12 5 79, 2, 6386, 0.0867877, 30
107 70 17, 12 5 79, 2, 5670, 0.0866399, 30
107 70 17, 12 5 79, 2, 6730, 0.0828788, 30
107 70 17, 12 5 79, 2, 18066, 0.245589, 30
107 70 17, 12 5 79, 2, 1711, 0.0223186, 30
107 70 17, 12 5 79, 2, 23872, 0.323804, 30
107 70 17, 12 5 79, 2, 4970, 0.064562, 30
107 70 17, 12 5 79, 2, 2578, 0.0359029, 30
107 70 17, 12 5 79, 2, 7977, 0.0986712, 30
107 70 17, 12 5 79, 2, 6712, 0.100325, 30
107 70 17, 12 5 79, 2, 5408, 0.0649248, 30
107 70 17, 12 5 79, 2, 7880, 0.10194, 30
107 70 17, 12 5 79, 2, 5698, 0.0619166, 30
107 70 17, 12 5 79, 2, 7874, 0.101132, 30
107 70 17, 12 5 79, 2, 18555, 0.218798, 30
107 70 17, 12 5 79, 2, 6955, 0.0890545, 30
107 70 17, 12 5 79, 2, 5180, 0.0540566, 30
107 70 17, 12 5 79, 2, 6829, 0.0906623, 30
107 70 17, 12 5 79, 2, 6908, 0.0727782, 30
107 70 17, 12 5 79, 2, 7818, 0.107348, 30
107 70 17, 12 5 79, 2, 10187, 0.124384, 30
107 70 17, 12 5 79, 2, 8312, 0.127089, 30
107 70 17, 12 5 79, 2, 7647, 0.121797, 30
107 70 17, 12 5 79, 2, 6911, 0.0911796, 30
107 70 17, 12 5 79, 2, 6339, 0.0726469, 30
107 70 17, 12 5 79, 2, 9105, 0.107769, 30
107 70 17, 12 5 79, 2, 7090, 0.0845477, 30
107 70 17, 12 5 79, 2, 8407, 0.08319, 30
107 70 17, 12 5 79, 2, 12529, 0.141401, 30
107 70 17, 12 5 79, 2, 4895, 0.0686344, 30
107 70 17, 12 5 79, 2, 8181, 0.098657, 30
107 70 17, 12 5 79, 2, 8166, 0.108972, 30
107 70 17, 12 5 79, 2, 5737, 0.0743929, 30
107 70 17, 12 5 79, 2, 19210, 0.222571, 30
107 70 17, 12 5 79, 2, 5851, 0.0756351, 30
107 70 17, 12 5 79, 2, 6964, 0.0743739, 30
107 70 17, 12 5 79, 2, 9467, 0.135289, 30
107 70 17, 12 5 79, 2, 15915, 0.189889, 30
107 70 17, 12 5 79, 2, 4018, 0.0610756, 30
107 70 17, 12 5 79, 2, 6152, 0.0850705, 30
107 70 17, 12 5 79, 2, 7391, 0.0935906, 30
107 70 17, 12 5 79, 2, 6838, 0.0965066, 30
107 70 17, 12 5 79, 2, 7924, 0.109791, 30
107 70 17, 12 5 79, 2, 5660, 0.0658041, 30
107 70 17, 12 5 79, 2, 7113, 0.07135, 30
107 70 17, 12 5 79, 2, 5635, 0.0746242, 30
107 70 17, 12 5 79, 2, 5772, 0.0917804, 30
107 70 17, 12 5 79, 2, 7078, 0.0910681, 30
107 70 17, 12 5 79, 2, 6485, 0.0824636, 30
107 70 17, 12 5 79, 2, 6276, 0.0745849, 30
107 70 17, 12 5 79, 2, 6294, 0.0836458, 30
107 70 17, 12 5 79, 2, 15716, 0.198787, 30
107 70 17, 12 5 79, 2, 6461, 0.109606, 30
107 70 17, 12 5 79, 2, 8425, 0.124151, 30
107 70 17, 12 5 79, 2, 5883, 0.0937593, 30
107 70 17, 12 5 79, 2, 6558, 0.0947796, 30
107 70 17, 12 5 79, 2, 8450, 0.133817, 30
107 70 17, 12 5 79, 2, 5922, 0.0836928, 30
107 70 17, 12 5 79, 2, 6950, 0.101178, 30
107 70 17, 12 5 79, 2, 5906, 0.068925, 30
107 70 17, 12 5 79, 2, 7354, 0.100792, 30
107 70 17, 12 5 79, 2, 6612, 0.0964683, 30
107 70 17, 12 5 79, 2, 6799, 0.0984732, 30
107 70 17, 12 5 79, 2, 8050, 0.0834902, 30
107 70 17, 12 5 79, 2, 8133, 0.112136, 30
107 70 17, 12 5 79, 2, 7679, 0.0959021, 30
107 70 17, 12 5 79, 2, 8639, 0.12314, 30
107 70 17, 12 5 79, 2, 9386, 0.123753, 30
107 70 17, 12 5 79, 2, 6496, 0.0852426, 30
107 70 17, 12 5 79, 2, 7065, 0.102576, 30
107 70 17, 12 5 79, 2, 7875, 0.111165, 30
107 70 17, 12 5 79, 2, 7754, 0.109124, 30
107 70 17, 12 5 79, 2, 8440, 0.104633, 30
107 70 17, 12 5 79, 2, 7593, 0.0933674, 30
107 70 17, 12 5 79, 2, 7958, 0.102657, 30
107 70 17, 12 5 79, 2, 6758, 0.0832628, 30
107 70 17, 12 5 79, 2, 6800, 0.0916811, 30
107 70 17, 12 5 79, 2, 28054, 0.351731, 30
107 70 17, 12 5 79, 2, 20575, 0.25747, 30
107 70 17, 12 5 79, 2, 6167, 0.0738227, 30
107 70 17, 12 5 79, 2, 6167, 0.0753305, 30
107 70 17, 12 5 79, 2, 8091, 0.115504, 30
107 70 17, 12 5 79, 2, 7443, 0.086445, 30
107 70 17, 12 5 79, 2, 16364, 0.220094, 30
107 70 17, 12 5 79, 2, 5674, 0.0799767, 30
107 70 17, 12 5 79, 2, 7104, 0.0941813, 30
107 70 17, 12 5 79, 2, 7873, 0.106282, 30
107 70 17, 12 5 79, 2, 8080, 0.111807, 30
107 70 17, 12 5 79, 2, 6903, 0.094789, 30
107 70 17, 12 5 79, 2, 7018, 0.112096, 30
107 70 17, 12 5 79, 2, 8427, 0.109308, 30
107 70 17, 12 5 79, 2, 7362, 0.11504, 30
107 70 17, 12 5 79, 2, 7446, 0.107429, 30
107 70 17, 12 5 79, 2, 5620, 0.0908168, 30
107 70 17, 12 5 79, 2, 6884, 0.0869232, 30
107 70 17, 12 5 79, 2, 6411, 0.0746229, 30
107 70 17, 12 5 79, 2, 6275, 0.064303, 30
107 70 17, 12 5 79, 2, 15279, 0.175181, 30
107 70 17, 12 5 79, 2, 5945, 0.0816933, 30
107 70 17, 12 5 79, 2, 5652, 0.0652957, 30
107 70 17, 12 5 79, 2, 7232, 0.094525, 30
107 70 17, 12 5 79, 2, 12524, 0.164308, 30
107 70 17, 12 5 79, 2, 5345, 0.0773095, 30
107 70 17, 12 5 79, 2, 6785, 0.0963193, 30
107 70 17, 12 5 79, 2, 7829, 0.113232, 30
107 70 17, 12 5 79, 2, 6591, 0.0829133, 30
107 70 17, 12 5 79, 2, 6472, 0.0919416, 30
107 70 17, 12 5 79, 2, 6838, 0.100897, 30
107 70 17, 12 5 79, 2, 7988, 0.103587, 30
107 70 17, 12 5 79, 2, 7925, 0.0932664, 30
107 70 17, 12 5 79, 2, 7828, 0.107049, 30
107 70 17, 12 5 79, 2, 7828, 0.101113, 30
107 70 17, 12 5 79, 2, 7607, 0.109692, 30
107 70 17, 12 5 79, 2, 7628, 0.0993905, 30
107 70 17, 12 5 79, 2, 7819, 0.107521, 30
107 70 17, 12 5 79, 2, 7742, 0.111666, 30
107 70 17, 12 5 79, 2, 7486, 0.0946649, 30
107 70 17, 12 5 79, 2, 17541, 0.216389, 30
107 70 17, 12 5 79, 2, 3196, 0.0416211, 30
107 70 17, 12 5 79, 2, 7368, 0.0981778, 30
107 70 17, 12 5 79, 2, 6375, 0.105592, 30
107 70 17, 12 5 79, 2, 1692, 0.0250571, 30
107 70 17, 12 5 79, 2, 16253, 0.242023, 30
107 70 17, 12 5 79, 2, 6289, 0.105459, 30
107 70 17, 12 5 79, 2, 7679, 0.116589, 30
107 70 17, 12 5 79, 2, 8056, 0.110443, 30
