start, goal, path_length, nodes_visited, time, num_evax
119 5 198, 149 5 210, 2, 10823, 0.226419, 30
119 5 198, 149 5 210, 2, 9443, 0.198158, 30
119 5 198, 149 5 210, 2, 2, 5.1743e-05, 30
119 5 198, 149 5 210, 107, 26588, 0.566308, 30
148 5 212, 149 5 210, 3, 5, 0.000137801, 30
148 5 212, 149 5 210, 3, 38038, 0.503601, 30
148 5 212, 149 5 210, 3, 4, 0.000102267, 30
148 5 212, 149 5 210, 3, 4, 9.6727e-05, 30
148 5 212, 149 5 210, 3, 4, 8.9344e-05, 30
148 5 212, 149 5 210, 3, 4, 9.0995e-05, 30
148 5 212, 149 5 210, 3, 4, 9.4912e-05, 30
148 5 212, 149 5 210, 3, 4, 9.0396e-05, 30
148 5 212, 149 5 210, 3, 4, 7.4099e-05, 30
148 5 212, 149 5 210, 3, 4, 8.8763e-05, 30
148 5 212, 149 5 210, 3, 22219, 0.253589, 30
148 5 212, 149 5 210, 3, 4, 0.000115033, 30
148 5 212, 149 5 210, 3, 5, 0.000109966, 30
148 5 212, 149 5 210, 3, 5, 0.000100059, 30
148 5 212, 149 5 210, 3, 5, 0.000123797, 30
148 5 212, 149 5 210, 3, 5, 0.000188913, 30
148 5 212, 149 5 210, 3, 20116, 0.246933, 30
148 5 212, 149 5 210, 3, 4, 0.00011153, 30
148 5 212, 149 5 210, 3, 5, 0.000104413, 30
148 5 212, 149 5 210, 3, 19499, 0.248586, 30
148 5 212, 149 5 210, 3, 5, 0.00010618, 30
148 5 212, 149 5 210, 3, 5, 0.000131217, 30
148 5 212, 149 5 210, 3, 5, 0.000107939, 30
148 5 212, 149 5 210, 3, 5, 0.000101355, 30
148 5 212, 149 5 210, 3, 18936, 0.243197, 30
148 5 212, 149 5 210, 3, 5, 0.000100513, 30
148 5 212, 149 5 210, 3, 5, 0.000114642, 30
148 5 212, 149 5 210, 3, 5, 0.000143163, 30
148 5 212, 149 5 210, 3, 10, 0.000210513, 30
148 5 212, 149 5 210, 3, 11, 0.000199511, 30
148 5 212, 149 5 210, 3, 6, 0.000130653, 30
148 5 212, 149 5 210, 3, 6, 0.000170132, 30
148 5 212, 149 5 210, 3, 19644, 0.217827, 30
148 5 212, 149 5 210, 3, 6, 0.000108926, 30
148 5 212, 149 5 210, 3, 6, 0.000111251, 30
148 5 212, 149 5 210, 3, 26513, 0.275161, 30
148 5 212, 149 5 210, 3, 6, 0.000121369, 30
148 5 212, 149 5 210, 3, 6, 0.000108832, 30
148 5 212, 149 5 210, 3, 19091, 0.24021, 30
148 5 212, 149 5 210, 3, 6, 0.00418961, 30
148 5 212, 149 5 210, 3, 6, 0.000127439, 30
148 5 212, 149 5 210, 3, 4, 9.025e-05, 30
148 5 212, 149 5 210, 3, 6, 0.00011548, 30
148 5 212, 149 5 210, 3, 6, 0.000127009, 30
148 5 212, 149 5 210, 3, 21279, 0.242104, 30
148 5 212, 149 5 210, 3, 6, 0.000122805, 30
148 5 212, 149 5 210, 3, 5, 0.000116571, 30
148 5 212, 149 5 210, 3, 5, 0.000103812, 30
148 5 212, 149 5 210, 3, 6, 0.000111807, 30
148 5 212, 149 5 210, 3, 6, 0.000121667, 30
148 5 212, 149 5 210, 3, 6, 0.000117785, 30
148 5 212, 149 5 210, 3, 6, 0.00244889, 30
148 5 212, 149 5 210, 3, 22379, 0.273588, 30
148 5 212, 149 5 210, 3, 6, 0.000462969, 30
148 5 212, 149 5 210, 3, 6, 0.000132301, 30
148 5 212, 149 5 210, 3, 6, 0.000114836, 30
148 5 212, 149 5 210, 3, 5, 0.000182152, 30
148 5 212, 149 5 210, 3, 6, 0.000160735, 30
148 5 212, 149 5 210, 3, 6, 0.000252903, 30
148 5 212, 149 5 210, 3, 22367, 0.326447, 30
148 5 212, 149 5 210, 3, 6, 0.00012677, 30
148 5 212, 149 5 210, 3, 5, 0.000104625, 30
148 5 212, 149 5 210, 3, 6, 0.000118353, 30
148 5 212, 149 5 210, 3, 6, 0.000146791, 30
148 5 212, 149 5 210, 3, 12, 0.000215361, 30
148 5 212, 149 5 210, 3, 5, 0.000155503, 30
148 5 212, 149 5 210, 3, 6, 0.000124163, 30
