start, goal, path_length, nodes_visited, time, num_evax
43 38 106, 12 5 79, 2, 14032, 0.265976, 30
43 38 106, 12 5 79, 2, 5650, 0.0772778, 30
43 38 106, 12 5 79, 2, 2, 6.103e-05, 30
43 38 106, 12 5 79, 2, 16018, 0.22738, 30
43 38 106, 12 5 79, 2, 6270, 0.120154, 30
43 38 106, 12 5 79, 2, 2, 6.3295e-05, 30
43 38 106, 12 5 79, 2, 9306, 0.191481, 30
43 38 106, 12 5 79, 2, 3936, 0.0460253, 30
43 38 106, 12 5 79, 2, 18281, 0.263352, 30
43 38 106, 12 5 79, 2, 7775, 0.11759, 30
43 38 106, 12 5 79, 171, 12520, 0.269853, 30
13 4 79, 12 5 79, 2, 13, 0.000113388, 30
13 4 79, 12 5 79, 2, 13, 0.000145398, 30
13 4 79, 12 5 79, 2, 13, 0.0001076, 30
13 4 79, 12 5 79, 2, 13, 0.000129421, 30
13 4 79, 12 5 79, 2, 13, 0.000108564, 30
13 4 79, 12 5 79, 2, 2, 6.9475e-05, 30
13 4 79, 12 5 79, 2, 13, 0.000101056, 30
13 4 79, 12 5 79, 2, 13, 0.000116262, 30
13 4 79, 12 5 79, 2, 13, 0.000102555, 30
13 4 79, 12 5 79, 2, 13, 0.00011628, 30
13 4 79, 12 5 79, 2, 13, 0.000114102, 30
13 4 79, 12 5 79, 2, 13, 0.000111669, 30
13 4 79, 12 5 79, 2, 13, 0.000143605, 30
13 4 79, 12 5 79, 2, 13, 0.000112858, 30
13 4 79, 12 5 79, 2, 13, 0.000132118, 30
13 4 79, 12 5 79, 2, 2, 7.7262e-05, 30
13 4 79, 12 5 79, 2, 3, 7.9593e-05, 30
13 4 79, 12 5 79, 2, 13, 0.000112481, 30
13 4 79, 12 5 79, 2, 13, 0.000114866, 30
13 4 79, 12 5 79, 2, 12, 0.000107046, 30
13 4 79, 12 5 79, 2, 3, 8.3055e-05, 30
13 4 79, 12 5 79, 2, 3, 7.4211e-05, 30
13 4 79, 12 5 79, 2, 3, 8.6327e-05, 30
13 4 79, 12 5 79, 2, 3, 8.2668e-05, 30
13 4 79, 12 5 79, 2, 3, 7.4564e-05, 30
13 4 79, 12 5 79, 2, 14, 9.2178e-05, 30
13 4 79, 12 5 79, 2, 13, 0.000147974, 30
13 4 79, 12 5 79, 2, 13, 9.4288e-05, 30
13 4 79, 12 5 79, 2, 3, 7.0779e-05, 30
