start, goal, path_length, nodes_visited, time, num_evax
50 5 158, 12 5 79, 2, 8313, 0.24899, 30
50 5 158, 12 5 79, 2, 10998, 0.174197, 30
50 5 158, 12 5 79, 2, 3209, 0.0372796, 30
50 5 158, 12 5 79, 2, 2, 9.0333e-05, 30
50 5 158, 12 5 79, 2, 2, 0.000157246, 30
50 5 158, 12 5 79, 2, 11152, 0.211036, 30
50 5 158, 12 5 79, 2, 2513, 0.0296095, 30
50 5 158, 12 5 79, 123, 7853, 0.10336, 30
13 5 81, 12 5 79, 3, 21, 0.000139236, 30
13 5 81, 12 5 79, 3, 21, 0.000179221, 30
13 5 81, 12 5 79, 3, 21, 0.000126315, 30
13 5 81, 12 5 79, 3, 3, 9.2207e-05, 30
13 5 81, 12 5 79, 3, 21, 0.000189325, 30
13 5 81, 12 5 79, 3, 3, 0.000125993, 30
13 5 81, 12 5 79, 3, 3, 0.000117584, 30
13 5 81, 12 5 79, 3, 3, 0.000164538, 30
13 5 81, 12 5 79, 3, 21, 0.000165513, 30
13 5 81, 12 5 79, 3, 21, 0.000410778, 30
13 5 81, 12 5 79, 3, 21, 0.000155393, 30
13 5 81, 12 5 79, 3, 21, 0.000138903, 30
13 5 81, 12 5 79, 3, 21, 0.000186713, 30
13 5 81, 12 5 79, 3, 21, 0.000139824, 30
13 5 81, 12 5 79, 3, 21, 0.000807434, 30
13 5 81, 12 5 79, 3, 21, 0.000166915, 30
13 5 81, 12 5 79, 3, 21, 0.000161747, 30
13 5 81, 12 5 79, 3, 21, 0.000174838, 30
13 5 81, 12 5 79, 3, 21, 0.000135936, 30
13 5 81, 12 5 79, 3, 21, 0.00016877, 30
13 5 81, 12 5 79, 3, 21, 0.000147115, 30
13 5 81, 12 5 79, 3, 21, 0.0002177, 30
13 5 81, 12 5 79, 3, 3, 0.000106344, 30
13 5 81, 12 5 79, 3, 21, 0.000132189, 30
13 5 81, 12 5 79, 3, 21, 0.000151613, 30
13 5 81, 12 5 79, 2, 8977, 0.0946953, 30
13 5 81, 12 5 79, 3, 21, 0.000232365, 30
13 5 81, 12 5 79, 3, 21, 0.000135586, 30
13 5 81, 12 5 79, 3, 19, 0.000127559, 30
13 5 81, 12 5 79, 3, 21, 0.00013802, 30
13 5 81, 12 5 79, 3, 21, 0.000131506, 30
13 5 81, 12 5 79, 3, 3, 7.3062e-05, 30
13 5 81, 12 5 79, 3, 21, 0.000169616, 30
13 5 81, 12 5 79, 3, 3, 8.3883e-05, 30
13 5 81, 12 5 79, 3, 3, 8.3583e-05, 30
13 5 81, 12 5 79, 3, 3, 8.5747e-05, 30
13 5 81, 12 5 79, 3, 3, 0.000164878, 30
13 5 81, 12 5 79, 3, 3, 7.2469e-05, 30
13 5 81, 12 5 79, 3, 21, 0.000132749, 30
13 5 81, 12 5 79, 3, 21, 0.000140675, 30
13 5 81, 12 5 79, 3, 21, 0.000505578, 30
13 5 81, 12 5 79, 3, 21, 0.000195724, 30
13 5 81, 12 5 79, 3, 21, 0.000136278, 30
13 5 81, 12 5 79, 3, 21, 0.00014889, 30
13 5 81, 12 5 79, 3, 21, 0.000137079, 30
13 5 81, 12 5 79, 3, 21, 0.000146016, 30
13 5 81, 12 5 79, 3, 21, 0.000168897, 30
13 5 81, 12 5 79, 3, 21, 0.000203419, 30
13 5 81, 12 5 79, 3, 21, 0.000174342, 30
13 5 81, 12 5 79, 3, 3, 7.7954e-05, 30
13 5 81, 12 5 79, 3, 3, 9.0248e-05, 30
13 5 81, 12 5 79, 3, 3, 0.00014746, 30
13 5 81, 12 5 79, 3, 3, 8.7864e-05, 30
13 5 81, 12 5 79, 3, 3, 9.0798e-05, 30
13 5 81, 12 5 79, 3, 20, 0.000201939, 30
13 5 81, 12 5 79, 2, 38550, 0.487197, 30
13 5 81, 12 5 79, 3, 20, 0.000152284, 30
13 5 81, 12 5 79, 3, 20, 0.000135034, 30
13 5 81, 12 5 79, 3, 20, 0.000136987, 30
13 5 81, 12 5 79, 3, 21, 0.000150033, 30
13 5 81, 12 5 79, 3, 20, 0.00105584, 30
13 5 81, 12 5 79, 3, 20, 0.0003977, 30
13 5 81, 12 5 79, 3, 8, 8.8927e-05, 30
13 5 81, 12 5 79, 3, 3, 8.7776e-05, 30
13 5 81, 12 5 79, 3, 3, 9.1875e-05, 30
13 5 81, 12 5 79, 3, 3, 9.3749e-05, 30
13 5 81, 12 5 79, 3, 3, 8.3436e-05, 30
13 5 81, 12 5 79, 3, 3, 8.421e-05, 30
13 5 81, 12 5 79, 3, 3, 8.6684e-05, 30
13 5 81, 12 5 79, 3, 20, 0.000185361, 30
13 5 81, 12 5 79, 3, 20, 0.000188402, 30
13 5 81, 12 5 79, 3, 20, 0.000147111, 30
13 5 81, 12 5 79, 3, 20, 0.000145707, 30
13 5 81, 12 5 79, 3, 20, 0.00014708, 30
13 5 81, 12 5 79, 3, 20, 0.000247049, 30
13 5 81, 12 5 79, 3, 20, 0.000157644, 30
13 5 81, 12 5 79, 3, 20, 0.000131008, 30
13 5 81, 12 5 79, 3, 3, 9.9461e-05, 30
13 5 81, 12 5 79, 3, 20, 0.000157477, 30
13 5 81, 12 5 79, 3, 20, 0.000154361, 30
13 5 81, 12 5 79, 3, 3, 0.000145709, 30
13 5 81, 12 5 79, 3, 3, 8.3307e-05, 30
13 5 81, 12 5 79, 3, 20, 0.000148602, 30
13 5 81, 12 5 79, 3, 20, 0.000144266, 30
13 5 81, 12 5 79, 3, 20, 0.00014693, 30
13 5 81, 12 5 79, 3, 3, 7.3864e-05, 30
13 5 81, 12 5 79, 3, 20, 0.000225548, 30
13 5 81, 12 5 79, 3, 20, 0.000738832, 30
13 5 81, 12 5 79, 3, 20, 0.000170695, 30
13 5 81, 12 5 79, 3, 19, 0.000127165, 30
13 5 81, 12 5 79, 3, 20, 0.00015128, 30
13 5 81, 12 5 79, 2, 47695, 0.71245, 30
13 5 81, 12 5 79, 3, 20, 0.000159523, 30
13 5 81, 12 5 79, 3, 20, 0.000150526, 30
13 5 81, 12 5 79, 3, 20, 0.000165379, 30
13 5 81, 12 5 79, 3, 20, 0.000149959, 30
13 5 81, 12 5 79, 3, 20, 0.000137762, 30
13 5 81, 12 5 79, 3, 20, 0.000151958, 30
13 5 81, 12 5 79, 3, 20, 0.000166209, 30
13 5 81, 12 5 79, 3, 20, 0.000173424, 30
13 5 81, 12 5 79, 3, 14, 0.000138619, 30
13 5 81, 12 5 79, 3, 20, 0.000150028, 30
13 5 81, 12 5 79, 3, 20, 0.000108102, 30
13 5 81, 12 5 79, 3, 18, 0.000129857, 30
13 5 81, 12 5 79, 3, 20, 0.00138272, 30
13 5 81, 12 5 79, 3, 18, 0.000245895, 30
13 5 81, 12 5 79, 3, 3, 0.000102095, 30
13 5 81, 12 5 79, 3, 20, 0.000137255, 30
13 5 81, 12 5 79, 3, 3, 7.5723e-05, 30
13 5 81, 12 5 79, 3, 3, 0.000111264, 30
13 5 81, 12 5 79, 3, 3, 8.952e-05, 30
13 5 81, 12 5 79, 3, 3, 8.6593e-05, 30
13 5 81, 12 5 79, 3, 3, 0.000107481, 30
13 5 81, 12 5 79, 3, 20, 0.000151794, 30
13 5 81, 12 5 79, 3, 20, 0.000261355, 30
13 5 81, 12 5 79, 3, 20, 0.000131986, 30
13 5 81, 12 5 79, 3, 20, 0.000131392, 30
13 5 81, 12 5 79, 3, 20, 0.00020586, 30
13 5 81, 12 5 79, 3, 20, 0.000139839, 30
13 5 81, 12 5 79, 3, 20, 0.000204078, 30
13 5 81, 12 5 79, 3, 3, 9.7491e-05, 30
13 5 81, 12 5 79, 3, 3, 7.9223e-05, 30
13 5 81, 12 5 79, 3, 3, 9.5827e-05, 30
13 5 81, 12 5 79, 3, 20, 0.000161094, 30
13 5 81, 12 5 79, 3, 20, 0.000169595, 30
13 5 81, 12 5 79, 3, 20, 0.00015423, 30
13 5 81, 12 5 79, 3, 20, 0.00014708, 30
13 5 81, 12 5 79, 3, 3, 7.906e-05, 30
13 5 81, 12 5 79, 3, 20, 0.00017277, 30
13 5 81, 12 5 79, 3, 20, 0.000137645, 30
13 5 81, 12 5 79, 3, 20, 0.000179062, 30
13 5 81, 12 5 79, 3, 20, 0.000170844, 30
13 5 81, 12 5 79, 3, 20, 0.00025512, 30
13 5 81, 12 5 79, 3, 8, 0.00010433, 30
13 5 81, 12 5 79, 3, 3, 0.000103793, 30
13 5 81, 12 5 79, 3, 20, 0.000203359, 30
13 5 81, 12 5 79, 3, 20, 0.000129469, 30
13 5 81, 12 5 79, 3, 20, 0.000133468, 30
13 5 81, 12 5 79, 3, 20, 0.000134138, 30
13 5 81, 12 5 79, 3, 20, 0.000157933, 30
