start, goal, path_length, nodes_visited, time, num_evax
124 70 103, 149 5 210, 2, 20970, 0.470182, 30
124 70 103, 149 5 210, 2, 815, 0.00929284, 30
124 70 103, 149 5 210, 2, 2, 6.7369e-05, 30
124 70 103, 149 5 210, 2, 2, 8.409e-05, 30
124 70 103, 149 5 210, 2, 2, 5.6005e-05, 30
124 70 103, 149 5 210, 2, 15717, 0.187946, 30
124 70 103, 149 5 210, 2, 1550, 0.0395042, 30
124 70 103, 149 5 210, 2, 16770, 0.272494, 30
124 70 103, 149 5 210, 2, 2, 5.7587e-05, 30
124 70 103, 149 5 210, 2, 4331, 0.0684188, 30
124 70 103, 149 5 210, 2, 11022, 0.146958, 30
124 70 103, 149 5 210, 2, 3281, 0.0580301, 30
124 70 103, 149 5 210, 2, 4518, 0.0530781, 30
124 70 103, 149 5 210, 2, 9647, 0.126387, 30
124 70 103, 149 5 210, 2, 3336, 0.0404422, 30
124 70 103, 149 5 210, 2, 2, 5.6535e-05, 30
124 70 103, 149 5 210, 2, 4175, 0.0527641, 30
124 70 103, 149 5 210, 2, 8982, 0.109262, 30
124 70 103, 149 5 210, 2, 2, 4.881e-05, 30
124 70 103, 149 5 210, 2, 2, 5.3857e-05, 30
124 70 103, 149 5 210, 2, 2, 6.0101e-05, 30
124 70 103, 149 5 210, 2, 4644, 0.0555075, 30
124 70 103, 149 5 210, 2, 7417, 0.103272, 30
124 70 103, 149 5 210, 2, 4509, 0.0850218, 30
124 70 103, 149 5 210, 2, 7226, 0.118779, 30
124 70 103, 149 5 210, 2, 3688, 0.09101, 30
124 70 103, 149 5 210, 2, 6983, 0.0972813, 30
124 70 103, 149 5 210, 2, 2, 0.000130023, 30
124 70 103, 149 5 210, 2, 5281, 0.0578914, 30
124 70 103, 149 5 210, 2, 1949, 0.0202622, 30
124 70 103, 149 5 210, 2, 4630, 0.0745308, 30
124 70 103, 149 5 210, 2, 9844, 0.126553, 30
124 70 103, 149 5 210, 2, 5517, 0.0706657, 30
124 70 103, 149 5 210, 2, 2522, 0.0316252, 30
124 70 103, 149 5 210, 2, 5201, 0.0680137, 30
124 70 103, 149 5 210, 2, 3881, 0.0440355, 30
124 70 103, 149 5 210, 2, 5472, 0.0680731, 30
124 70 103, 149 5 210, 2, 13160, 0.139349, 30
124 70 103, 149 5 210, 2, 3139, 0.0430668, 30
124 70 103, 149 5 210, 2, 2, 6.0081e-05, 30
124 70 103, 149 5 210, 2, 2, 5.384e-05, 30
124 70 103, 149 5 210, 2, 9498, 0.0985542, 30
124 70 103, 149 5 210, 2, 1909, 0.023478, 30
124 70 103, 149 5 210, 2, 4142, 0.080748, 30
124 70 103, 149 5 210, 2, 6745, 0.136882, 30
124 70 103, 149 5 210, 2, 5614, 0.0943453, 30
124 70 103, 149 5 210, 2, 4025, 0.0530221, 30
124 70 103, 149 5 210, 2, 9312, 0.121587, 30
124 70 103, 149 5 210, 2, 4675, 0.0907977, 30
124 70 103, 149 5 210, 2, 5634, 0.0908592, 30
124 70 103, 149 5 210, 2, 4037, 0.0562308, 30
124 70 103, 149 5 210, 2, 2, 6.6829e-05, 30
124 70 103, 149 5 210, 2, 2, 6.8452e-05, 30
124 70 103, 149 5 210, 2, 10016, 0.127772, 30
124 70 103, 149 5 210, 2, 3179, 0.0429882, 30
124 70 103, 149 5 210, 2, 4601, 0.0859444, 30
124 70 103, 149 5 210, 2, 7420, 0.121647, 30
124 70 103, 149 5 210, 2, 3739, 0.0477142, 30
124 70 103, 149 5 210, 2, 2, 7.1952e-05, 30
124 70 103, 149 5 210, 2, 3799, 0.0467329, 30
124 70 103, 149 5 210, 2, 2859, 0.0417065, 30
124 70 103, 149 5 210, 2, 2, 6.8264e-05, 30
124 70 103, 149 5 210, 2, 9009, 0.11525, 30
124 70 103, 149 5 210, 2, 1390, 0.0226937, 30
124 70 103, 149 5 210, 2, 8474, 0.106576, 30
124 70 103, 149 5 210, 2, 4098, 0.0598288, 30
124 70 103, 149 5 210, 2, 7368, 0.0924116, 30
124 70 103, 149 5 210, 2, 4359, 0.0578858, 30
124 70 103, 149 5 210, 2, 2, 4.5676e-05, 30
124 70 103, 149 5 210, 2, 3889, 0.0549385, 30
124 70 103, 149 5 210, 2, 3649, 0.0484836, 30
124 70 103, 149 5 210, 2, 10363, 0.115866, 30
124 70 103, 149 5 210, 2, 11588, 0.147892, 30
124 70 103, 149 5 210, 2, 3904, 0.0510659, 30
124 70 103, 149 5 210, 2, 2188, 0.0218717, 30
124 70 103, 149 5 210, 2, 2, 6.1189e-05, 30
124 70 103, 149 5 210, 2, 4485, 0.0540262, 30
124 70 103, 149 5 210, 2, 4450, 0.0462765, 30
124 70 103, 149 5 210, 2, 13791, 0.166489, 30
124 70 103, 149 5 210, 2, 4111, 0.0566411, 30
124 70 103, 149 5 210, 2, 4271, 0.0518416, 30
124 70 103, 149 5 210, 2, 4557, 0.0597007, 30
124 70 103, 149 5 210, 2, 3897, 0.0487399, 30
124 70 103, 149 5 210, 2, 2, 5.6436e-05, 30
124 70 103, 149 5 210, 2, 3666, 0.05606, 30
124 70 103, 149 5 210, 2, 4910, 0.0566592, 30
124 70 103, 149 5 210, 2, 3440, 0.0384738, 30
124 70 103, 149 5 210, 2, 11212, 0.14876, 30
124 70 103, 149 5 210, 2, 3656, 0.0511161, 30
124 70 103, 149 5 210, 2, 2, 6.5045e-05, 30
124 70 103, 149 5 210, 2, 2749, 0.0459861, 30
124 70 103, 149 5 210, 2, 2, 6.4307e-05, 30
124 70 103, 149 5 210, 2, 2, 6.8966e-05, 30
124 70 103, 149 5 210, 2, 4933, 0.0613547, 30
124 70 103, 149 5 210, 2, 3557, 0.0398893, 30
124 70 103, 149 5 210, 2, 2, 7.093e-05, 30
124 70 103, 149 5 210, 2, 2, 7.2626e-05, 30
124 70 103, 149 5 210, 2, 9611, 0.122635, 30
124 70 103, 149 5 210, 2, 3713, 0.0479412, 30
124 70 103, 149 5 210, 2, 3713, 0.0469805, 30
124 70 103, 149 5 210, 2, 14016, 0.180459, 30
124 70 103, 149 5 210, 2, 2955, 0.0597026, 30
124 70 103, 149 5 210, 2, 8554, 0.126483, 30
124 70 103, 149 5 210, 2, 4458, 0.0642999, 30
124 70 103, 149 5 210, 2, 13278, 0.165696, 30
124 70 103, 149 5 210, 2, 1712, 0.022465, 30
124 70 103, 149 5 210, 2, 4317, 0.0537919, 30
124 70 103, 149 5 210, 2, 8001, 0.102318, 30
124 70 103, 149 5 210, 2, 4488, 0.0717045, 30
124 70 103, 149 5 210, 2, 10980, 0.133024, 30
124 70 103, 149 5 210, 2, 13501, 0.161867, 30
124 70 103, 149 5 210, 2, 2372, 0.0301417, 30
124 70 103, 149 5 210, 2, 4275, 0.0531307, 30
124 70 103, 149 5 210, 2, 39650, 0.456436, 30
124 70 103, 149 5 210, 2, 2, 6.4825e-05, 30
124 70 103, 149 5 210, 2, 35374, 0.400774, 30
124 70 103, 149 5 210, 2, 2723, 0.0365998, 30
124 70 103, 149 5 210, 2, 2, 8.9568e-05, 30
124 70 103, 149 5 210, 2, 4053, 0.05034, 30
124 70 103, 149 5 210, 2, 2, 5.9902e-05, 30
124 70 103, 149 5 210, 2, 2, 9.7702e-05, 30
124 70 103, 149 5 210, 2, 4295, 0.0583779, 30
124 70 103, 149 5 210, 2, 13091, 0.181025, 30
124 70 103, 149 5 210, 2, 1932, 0.0248858, 30
124 70 103, 149 5 210, 2, 7084, 0.102933, 30
124 70 103, 149 5 210, 2, 3568, 0.0469588, 30
124 70 103, 149 5 210, 2, 5100, 0.0745407, 30
124 70 103, 149 5 210, 2, 2, 5.8819e-05, 30
124 70 103, 149 5 210, 2, 2, 7.8618e-05, 30
124 70 103, 149 5 210, 2, 2523, 0.0359945, 30
124 70 103, 149 5 210, 2, 4971, 0.0704907, 30
124 70 103, 149 5 210, 2, 12207, 0.16102, 30
124 70 103, 149 5 210, 2, 3254, 0.0558904, 30
124 70 103, 149 5 210, 2, 6162, 0.0890844, 30
124 70 103, 149 5 210, 2, 12223, 0.161353, 30
124 70 103, 149 5 210, 2, 2659, 0.0385367, 30
124 70 103, 149 5 210, 2, 2, 6.0267e-05, 30
124 70 103, 149 5 210, 2, 14664, 0.217307, 30
124 70 103, 149 5 210, 2, 5062, 0.06834, 30
124 70 103, 149 5 210, 2, 2, 5.9785e-05, 30
124 70 103, 149 5 210, 2, 18513, 0.246629, 30
124 70 103, 149 5 210, 2, 14628, 0.208833, 30
124 70 103, 149 5 210, 2, 3761, 0.0511466, 30
124 70 103, 149 5 210, 2, 2, 6.4244e-05, 30
124 70 103, 149 5 210, 2, 3149, 0.0478051, 30
124 70 103, 149 5 210, 2, 4567, 0.075364, 30
124 70 103, 149 5 210, 2, 10051, 0.121639, 30
124 70 103, 149 5 210, 2, 5226, 0.0808404, 30
124 70 103, 149 5 210, 2, 2, 6.8944e-05, 30
124 70 103, 149 5 210, 2, 2, 7.0984e-05, 30
124 70 103, 149 5 210, 2, 4083, 0.0580268, 30
124 70 103, 149 5 210, 2, 13274, 0.205847, 30
124 70 103, 149 5 210, 2, 1604, 0.0277005, 30
124 70 103, 149 5 210, 2, 9698, 0.148896, 30
124 70 103, 149 5 210, 2, 8133, 0.12553, 30
124 70 103, 149 5 210, 2, 4556, 0.118903, 30
124 70 103, 149 5 210, 2, 9286, 0.13773, 30
124 70 103, 149 5 210, 2, 4054, 0.0957384, 30
