start, goal, path_length, nodes_visited, time
119 38 78, 12 5 79, 121, 6792, 1.14049
119 38 78, 12 5 79, 117, 8223, 1.20928
119 38 78, 12 5 79, 121, 8370, 1.27319
119 38 78, 12 5 79, 121, 6792, 1.173
119 38 78, 12 5 79, 120, 7401, 1.91059
119 38 78, 12 5 79, 121, 8027, 1.30644
119 38 78, 12 5 79, 121, 7577, 1.46963
119 38 78, 12 5 79, 117, 7999, 1.70727
119 38 78, 12 5 79, 119, 8117, 1.91155
119 38 78, 12 5 79, 115, 7816, 1.57623
119 38 78, 12 5 79, 126, 9894, 2.25513
119 38 78, 12 5 79, 386, 59494, 4.89523
