start, goal, path_length, nodes_visited, time
43 5 106, 12 5 79, 89, 4132, 0.117247
43 5 106, 12 5 79, 89, 4132, 0.105368
43 5 106, 12 5 79, 90, 4173, 0.109597
43 5 106, 12 5 79, 89, 4131, 0.109299
43 5 106, 12 5 79, 89, 4132, 0.102203
43 5 106, 12 5 79, 89, 4129, 0.101883
43 5 106, 12 5 79, 91, 4205, 0.106911
43 5 106, 12 5 79, 90, 4171, 0.102333
43 5 106, 12 5 79, 90, 4173, 0.107168
43 5 106, 12 5 79, 90, 4174, 0.122958
43 5 106, 12 5 79, 90, 4170, 0.111737
43 5 106, 12 5 79, 89, 4132, 0.10393
43 5 106, 12 5 79, 89, 4132, 0.102982
43 5 106, 12 5 79, 90, 4171, 0.107443
43 5 106, 12 5 79, 91, 4209, 0.103925
43 5 106, 12 5 79, 90, 4174, 0.113018
43 5 106, 12 5 79, 91, 4208, 0.1038
43 5 106, 12 5 79, 91, 4206, 0.106691
43 5 106, 12 5 79, 89, 4131, 0.121454
