start, goal, path_length, nodes_visited, time
47 70 234, 149 5 210, 185, 27949, 0.414953
47 70 234, 149 5 210, 185, 27949, 0.350637
47 70 234, 149 5 210, 185, 27949, 0.323229
47 70 234, 149 5 210, 185, 27949, 0.328005
47 70 234, 149 5 210, 185, 27949, 0.332177
47 70 234, 149 5 210, 185, 27949, 0.363313
47 70 234, 149 5 210, 185, 27949, 0.319773
47 70 234, 149 5 210, 185, 27949, 0.317277
47 70 234, 149 5 210, 185, 27949, 0.416904
47 70 234, 149 5 210, 185, 27949, 0.335344
47 70 234, 149 5 210, 185, 27949, 0.319572
47 70 234, 149 5 210, 185, 27949, 0.358916
47 70 234, 149 5 210, 185, 27949, 0.320696
47 70 234, 149 5 210, 185, 27949, 0.361749
47 70 234, 149 5 210, 185, 27949, 0.389263
47 70 234, 149 5 210, 185, 27949, 0.36143
47 70 234, 149 5 210, 185, 27949, 0.462439
