start, goal, path_length, nodes_visited, time
47 5 234, 149 5 210, 109, 2372, 0.44739
47 5 234, 149 5 210, 109, 2395, 0.591281
47 5 234, 149 5 210, 109, 2392, 0.63642
47 5 234, 149 5 210, 109, 2386, 0.331307
47 5 234, 149 5 210, 109, 2398, 0.701028
47 5 234, 149 5 210, 109, 2381, 0.390019
47 5 234, 149 5 210, 109, 2386, 0.45025
47 5 234, 149 5 210, 109, 2372, 0.342065
47 5 234, 149 5 210, 109, 2373, 0.39307
47 5 234, 149 5 210, 109, 2376, 0.403824
47 5 234, 149 5 210, 109, 2375, 0.51023
47 5 234, 149 5 210, 109, 2373, 0.642761
47 5 234, 149 5 210, 109, 2388, 0.809269
47 5 234, 149 5 210, 109, 2372, 0.533486
47 5 234, 149 5 210, 109, 2388, 0.781329
47 5 234, 149 5 210, 109, 2380, 0.51395
