start, goal, path_length, nodes_visited, time
43 38 106, 12 5 79, 166, 16498, 0.278153
43 38 106, 12 5 79, 166, 16498, 0.246223
43 38 106, 12 5 79, 166, 16498, 0.190163
43 38 106, 12 5 79, 166, 16498, 0.18673
43 38 106, 12 5 79, 166, 16498, 0.193234
43 38 106, 12 5 79, 166, 16498, 0.191759
43 38 106, 12 5 79, 166, 16498, 0.185816
43 38 106, 12 5 79, 166, 16498, 0.185914
43 38 106, 12 5 79, 166, 16498, 0.187528
43 38 106, 12 5 79, 166, 16498, 0.185975
43 38 106, 12 5 79, 166, 16498, 0.228065
43 38 106, 12 5 79, 166, 16498, 0.189385
43 38 106, 12 5 79, 166, 16498, 0.186576
43 38 106, 12 5 79, 166, 16498, 0.192395
43 38 106, 12 5 79, 166, 16502, 0.189157
43 38 106, 12 5 79, 168, 16576, 0.22476
43 38 106, 12 5 79, 173, 19286, 0.300174
43 38 106, 12 5 79, 177, 21035, 0.321489
