start, goal, path_length, nodes_visited, time
121 5 27, 12 5 79, 110, 765, 0.16233
121 5 27, 12 5 79, 110, 765, 0.12267
121 5 27, 12 5 79, 110, 765, 0.0939525
121 5 27, 12 5 79, 110, 765, 0.103022
121 5 27, 12 5 79, 110, 736, 0.074959
121 5 27, 12 5 79, 110, 754, 0.185292
121 5 27, 12 5 79, 110, 754, 0.191935
121 5 27, 12 5 79, 110, 754, 0.118784
121 5 27, 12 5 79, 110, 754, 0.117113
121 5 27, 12 5 79, 110, 754, 0.12144
121 5 27, 12 5 79, 110, 754, 0.196602
121 5 27, 12 5 79, 110, 754, 0.0990185
121 5 27, 12 5 79, 110, 754, 0.10394
121 5 27, 12 5 79, 110, 754, 0.170132
121 5 27, 12 5 79, 110, 754, 0.375645
121 5 27, 12 5 79, 110, 754, 0.0928362
121 5 27, 12 5 79, 110, 754, 0.115345
121 5 27, 12 5 79, 110, 754, 0.16241
121 5 27, 12 5 79, 110, 754, 0.341043
