start, goal, path_length, nodes_visited, time
56 5 126, 12 5 79, 94, 4255, 0.117164
56 5 126, 12 5 79, 94, 4345, 0.074319
56 5 126, 12 5 79, 94, 4347, 0.0746043
56 5 126, 12 5 79, 94, 4346, 0.0731562
56 5 126, 12 5 79, 94, 4347, 0.0710204
56 5 126, 12 5 79, 94, 4346, 0.0716117
56 5 126, 12 5 79, 94, 4345, 0.0748142
56 5 126, 12 5 79, 94, 4346, 0.0732445
56 5 126, 12 5 79, 94, 4440, 0.0740341
56 5 126, 12 5 79, 94, 4433, 0.0893928
56 5 126, 12 5 79, 94, 4348, 0.119454
56 5 126, 12 5 79, 94, 4347, 0.0712331
56 5 126, 12 5 79, 94, 4347, 0.070797
56 5 126, 12 5 79, 94, 4347, 0.070984
56 5 126, 12 5 79, 94, 4349, 0.0733622
56 5 126, 12 5 79, 94, 4437, 0.0784479
56 5 126, 12 5 79, 94, 4347, 0.071871
56 5 126, 12 5 79, 94, 4344, 0.0736375
56 5 126, 12 5 79, 94, 4348, 0.0899024
