start, goal, path_length, nodes_visited, time
121 5 27, 12 5 79, 110, 765, 0.0199154
121 5 27, 12 5 79, 110, 765, 0.00525856
121 5 27, 12 5 79, 110, 765, 0.00553569
121 5 27, 12 5 79, 110, 765, 0.00566241
121 5 27, 12 5 79, 110, 756, 0.00582198
121 5 27, 12 5 79, 110, 754, 0.00557812
121 5 27, 12 5 79, 110, 754, 0.00807059
121 5 27, 12 5 79, 110, 754, 0.0437641
121 5 27, 12 5 79, 110, 754, 0.00492697
121 5 27, 12 5 79, 110, 754, 0.00565805
121 5 27, 12 5 79, 110, 754, 0.00469622
121 5 27, 12 5 79, 110, 754, 0.00830528
121 5 27, 12 5 79, 110, 754, 0.00584634
121 5 27, 12 5 79, 110, 754, 0.00892984
121 5 27, 12 5 79, 110, 754, 0.0485985
121 5 27, 12 5 79, 110, 754, 0.00526927
121 5 27, 12 5 79, 110, 754, 0.00549333
121 5 27, 12 5 79, 110, 754, 0.00497062
121 5 27, 12 5 79, 110, 754, 0.00462796
121 5 27, 12 5 79, 110, 754, 0.00510245
