start, goal, path_length, nodes_visited, time
115 5 160, 149 5 210, 138, 10798, 2.2128
115 5 160, 149 5 210, 138, 10802, 1.53156
115 5 160, 149 5 210, 138, 10803, 1.4438
115 5 160, 149 5 210, 138, 10798, 1.27988
115 5 160, 149 5 210, 138, 10799, 1.72203
115 5 160, 149 5 210, 138, 10798, 1.38066
115 5 160, 149 5 210, 138, 10798, 1.60834
115 5 160, 149 5 210, 138, 10802, 1.78387
115 5 160, 149 5 210, 138, 10802, 1.75937
115 5 160, 149 5 210, 138, 10798, 2.39465
115 5 160, 149 5 210, 138, 10802, 1.73473
