start, goal, path_length, nodes_visited, time
50 5 158, 12 5 79, 122, 7829, 1.22507
50 5 158, 12 5 79, 122, 7829, 0.92782
50 5 158, 12 5 79, 122, 7829, 1.19956
50 5 158, 12 5 79, 122, 7829, 1.27586
50 5 158, 12 5 79, 122, 7821, 2.1678
50 5 158, 12 5 79, 122, 7829, 1.10216
50 5 158, 12 5 79, 122, 7829, 1.21742
50 5 158, 12 5 79, 122, 7829, 0.998788
50 5 158, 12 5 79, 122, 7829, 1.14466
50 5 158, 12 5 79, 122, 7829, 1.1986
50 5 158, 12 5 79, 122, 7821, 1.35177
50 5 158, 12 5 79, 122, 7829, 1.54043
