start, goal, path_length, nodes_visited, time
119 5 198, 149 5 210, 104, 5370, 0.886547
119 5 198, 149 5 210, 104, 5370, 0.803902
119 5 198, 149 5 210, 104, 5370, 0.764105
119 5 198, 149 5 210, 104, 5370, 0.438394
119 5 198, 149 5 210, 104, 5370, 0.709745
119 5 198, 149 5 210, 104, 5370, 0.789123
119 5 198, 149 5 210, 104, 5372, 0.938661
119 5 198, 149 5 210, 104, 5370, 0.758842
119 5 198, 149 5 210, 104, 5371, 0.797588
119 5 198, 149 5 210, 104, 5370, 0.918662
119 5 198, 149 5 210, 104, 5370, 0.898652
119 5 198, 149 5 210, 104, 5370, 0.961209
119 5 198, 149 5 210, 104, 5370, 1.03326
119 5 198, 149 5 210, 104, 5372, 0.939342
