start, goal, path_length, nodes_visited, time
131 5 235, 149 5 210, 26, 193, 0.0397907
131 5 235, 149 5 210, 26, 193, 0.0328455
131 5 235, 149 5 210, 26, 193, 0.0282722
131 5 235, 149 5 210, 26, 193, 0.103882
131 5 235, 149 5 210, 26, 193, 0.0210981
131 5 235, 149 5 210, 26, 193, 0.0339258
131 5 235, 149 5 210, 26, 193, 0.0254825
131 5 235, 149 5 210, 26, 193, 0.15466
131 5 235, 149 5 210, 26, 193, 0.0333794
131 5 235, 149 5 210, 26, 193, 0.0244192
131 5 235, 149 5 210, 26, 193, 0.0282889
131 5 235, 149 5 210, 26, 193, 0.0296865
131 5 235, 149 5 210, 26, 193, 0.079716
131 5 235, 149 5 210, 26, 193, 0.0370925
131 5 235, 149 5 210, 26, 193, 0.0280647
131 5 235, 149 5 210, 26, 193, 0.034576
131 5 235, 149 5 210, 26, 193, 0.102347
131 5 235, 149 5 210, 26, 193, 0.0271847
131 5 235, 149 5 210, 26, 193, 0.0734065
