start, goal, path_length, nodes_visited, time
56 5 126, 12 5 79, 94, 4347, 0.743193
56 5 126, 12 5 79, 94, 4349, 0.756574
56 5 126, 12 5 79, 94, 4349, 0.687402
56 5 126, 12 5 79, 94, 4343, 0.465349
56 5 126, 12 5 79, 94, 4437, 0.640495
56 5 126, 12 5 79, 94, 4332, 1.38571
56 5 126, 12 5 79, 94, 4347, 0.646548
56 5 126, 12 5 79, 94, 4347, 0.390835
56 5 126, 12 5 79, 94, 4347, 0.580627
56 5 126, 12 5 79, 94, 4341, 0.95321
56 5 126, 12 5 79, 94, 4349, 1.05128
56 5 126, 12 5 79, 94, 4343, 0.843204
56 5 126, 12 5 79, 94, 4290, 0.684902
56 5 126, 12 5 79, 94, 4347, 0.939417
56 5 126, 12 5 79, 94, 4347, 0.888733
