start, goal, path_length, nodes_visited, time, num_evax
56 70 126, 12 5 79, 2, 4198, 0.171938, 30
56 70 126, 12 5 79, 2, 4697, 0.0880354, 30
56 70 126, 12 5 79, 2, 2, 9.3067e-05, 30
56 70 126, 12 5 79, 2, 2, 8.9235e-05, 30
56 70 126, 12 5 79, 2, 2, 0.000115106, 30
56 70 126, 12 5 79, 2, 2, 9.749e-05, 30
56 70 126, 12 5 79, 2, 8696, 0.105323, 30
56 70 126, 12 5 79, 2, 5898, 0.0981444, 30
56 70 126, 12 5 79, 2, 5583, 0.0817127, 30
56 70 126, 12 5 79, 2, 2, 7.7181e-05, 30
56 70 126, 12 5 79, 2, 2, 6.1701e-05, 30
56 70 126, 12 5 79, 2, 2, 0.000110877, 30
56 70 126, 12 5 79, 2, 2, 0.000377406, 30
56 70 126, 12 5 79, 2, 2, 0.000506659, 30
56 70 126, 12 5 79, 2, 2, 0.00256274, 30
56 70 126, 12 5 79, 2, 31508, 0.439421, 30
56 70 126, 12 5 79, 2, 2, 8.1149e-05, 30
56 70 126, 12 5 79, 2, 16268, 0.224856, 30
56 70 126, 12 5 79, 2, 1547, 0.0279784, 30
56 70 126, 12 5 79, 2, 969, 0.00869224, 30
56 70 126, 12 5 79, 2, 2, 0.000120414, 30
56 70 126, 12 5 79, 2, 11687, 0.147583, 30
56 70 126, 12 5 79, 2, 2352, 0.0415213, 30
56 70 126, 12 5 79, 2, 16685, 0.190504, 30
56 70 126, 12 5 79, 2, 2, 8.5518e-05, 30
56 70 126, 12 5 79, 2, 2, 8.4767e-05, 30
56 70 126, 12 5 79, 2, 6353, 0.092066, 30
56 70 126, 12 5 79, 2, 1143, 0.0345091, 30
56 70 126, 12 5 79, 2, 9545, 0.117193, 30
56 70 126, 12 5 79, 2, 8799, 0.123624, 30
56 70 126, 12 5 79, 2, 3212, 0.0531107, 30
56 70 126, 12 5 79, 2, 5444, 0.0854955, 30
56 70 126, 12 5 79, 2, 2, 0.000157963, 30
56 70 126, 12 5 79, 2, 11496, 0.147759, 30
56 70 126, 12 5 79, 2, 8316, 0.108622, 30
56 70 126, 12 5 79, 2, 5411, 0.0784167, 30
56 70 126, 12 5 79, 2, 2, 8.5928e-05, 30
56 70 126, 12 5 79, 2, 11107, 0.146215, 30
56 70 126, 12 5 79, 2, 2, 0.000366365, 30
56 70 126, 12 5 79, 2, 2, 8.8211e-05, 30
56 70 126, 12 5 79, 2, 2, 0.000115089, 30
56 70 126, 12 5 79, 2, 2, 9.8309e-05, 30
56 70 126, 12 5 79, 2, 18790, 0.224325, 30
56 70 126, 12 5 79, 2, 1162, 0.0129792, 30
56 70 126, 12 5 79, 2, 9357, 0.110349, 30
56 70 126, 12 5 79, 2, 21429, 0.248802, 30
56 70 126, 12 5 79, 2, 2, 0.000101351, 30
56 70 126, 12 5 79, 2, 2, 9.9111e-05, 30
56 70 126, 12 5 79, 2, 2, 0.000138323, 30
56 70 126, 12 5 79, 2, 2, 9.3464e-05, 30
56 70 126, 12 5 79, 2, 12343, 0.182433, 30
56 70 126, 12 5 79, 2, 35423, 0.430498, 30
56 70 126, 12 5 79, 2, 3388, 0.0492162, 30
56 70 126, 12 5 79, 2, 995, 0.00971009, 30
56 70 126, 12 5 79, 2, 5086, 0.0646093, 30
56 70 126, 12 5 79, 2, 5218, 0.0750783, 30
56 70 126, 12 5 79, 2, 1491, 0.0149217, 30
56 70 126, 12 5 79, 2, 2, 9.2903e-05, 30
56 70 126, 12 5 79, 2, 2, 0.000109184, 30
56 70 126, 12 5 79, 2, 8675, 0.117602, 30
56 70 126, 12 5 79, 2, 7855, 0.121697, 30
56 70 126, 12 5 79, 2, 3453, 0.0502109, 30
