start, goal, path_length, nodes_visited, time, num_evax
43 5 106, 12 5 79, 2, 24647, 0.640322, 30
43 5 106, 12 5 79, 2, 3212, 0.0642841, 30
43 5 106, 12 5 79, 2, 2, 7.1536e-05, 30
43 5 106, 12 5 79, 2, 3726, 0.0574675, 30
43 5 106, 12 5 79, 2, 19080, 0.262636, 30
43 5 106, 12 5 79, 2, 2, 5.6345e-05, 30
43 5 106, 12 5 79, 93, 5033, 0.0480661, 30
14 5 78, 12 5 79, 3, 11, 9.4679e-05, 30
14 5 78, 12 5 79, 3, 11, 0.000105943, 30
14 5 78, 12 5 79, 3, 11, 0.000134775, 30
14 5 78, 12 5 79, 3, 3, 8.5307e-05, 30
14 5 78, 12 5 79, 3, 3, 0.000117774, 30
14 5 78, 12 5 79, 3, 11, 0.000119547, 30
14 5 78, 12 5 79, 3, 11, 9.2619e-05, 30
14 5 78, 12 5 79, 3, 11, 0.00011398, 30
14 5 78, 12 5 79, 3, 11, 0.000151357, 30
14 5 78, 12 5 79, 3, 11, 0.000110953, 30
14 5 78, 12 5 79, 3, 11, 0.000139558, 30
14 5 78, 12 5 79, 3, 11, 0.000117711, 30
14 5 78, 12 5 79, 3, 11, 0.000105286, 30
14 5 78, 12 5 79, 3, 11, 0.000132476, 30
14 5 78, 12 5 79, 3, 11, 0.000133459, 30
14 5 78, 12 5 79, 3, 11, 0.000101436, 30
14 5 78, 12 5 79, 3, 11, 0.000141237, 30
14 5 78, 12 5 79, 3, 8, 0.000105211, 30
14 5 78, 12 5 79, 3, 14, 0.000124866, 30
14 5 78, 12 5 79, 3, 3, 7.2772e-05, 30
14 5 78, 12 5 79, 3, 5, 0.000466584, 30
14 5 78, 12 5 79, 3, 5, 7.9994e-05, 30
14 5 78, 12 5 79, 3, 14, 0.000203841, 30
14 5 78, 12 5 79, 3, 14, 0.000125446, 30
14 5 78, 12 5 79, 3, 4, 6.8998e-05, 30
14 5 78, 12 5 79, 3, 14, 0.000110836, 30
14 5 78, 12 5 79, 3, 12, 0.000111194, 30
14 5 78, 12 5 79, 3, 12, 0.000109695, 30
