start, goal, path_length, nodes_visited, time, num_evax
47 5 234, 149 5 210, 2, 8429, 0.241069, 30
47 5 234, 149 5 210, 2, 11293, 0.150212, 30
47 5 234, 149 5 210, 2, 11316, 0.214026, 30
47 5 234, 149 5 210, 2, 4254, 0.0577809, 30
47 5 234, 149 5 210, 2, 4254, 0.0529195, 30
47 5 234, 149 5 210, 2, 32791, 0.652965, 30
47 5 234, 149 5 210, 2, 42003, 0.879486, 30
47 5 234, 149 5 210, 2, 4788, 0.0540594, 30
47 5 234, 149 5 210, 2, 4788, 0.0527406, 30
47 5 234, 149 5 210, 2, 48686, 0.707451, 30
47 5 234, 149 5 210, 2, 4847, 0.078859, 30
47 5 234, 149 5 210, 2, 3887, 0.0795684, 30
47 5 234, 149 5 210, 2, 3887, 0.0514167, 30
47 5 234, 149 5 210, 110, 39920, 0.603801, 30
149 5 212, 149 5 210, 3, 6, 0.000131277, 30
149 5 212, 149 5 210, 3, 6, 0.000328333, 30
149 5 212, 149 5 210, 3, 6, 0.000124387, 30
149 5 212, 149 5 210, 3, 21384, 0.246748, 30
149 5 212, 149 5 210, 3, 3, 8.8033e-05, 30
149 5 212, 149 5 210, 3, 4, 9.197e-05, 30
149 5 212, 149 5 210, 3, 21393, 0.275395, 30
149 5 212, 149 5 210, 3, 4, 9.5619e-05, 30
149 5 212, 149 5 210, 3, 4, 0.000159852, 30
149 5 212, 149 5 210, 3, 4, 9.8781e-05, 30
149 5 212, 149 5 210, 3, 3, 9.3912e-05, 30
149 5 212, 149 5 210, 3, 4, 0.000133162, 30
149 5 212, 149 5 210, 3, 4, 9.7386e-05, 30
149 5 212, 149 5 210, 3, 4, 0.000106056, 30
149 5 212, 149 5 210, 3, 4, 0.000109074, 30
149 5 212, 149 5 210, 3, 21026, 0.28021, 30
149 5 212, 149 5 210, 3, 4, 9.2385e-05, 30
149 5 212, 149 5 210, 3, 3, 0.000100838, 30
149 5 212, 149 5 210, 3, 21365, 0.279081, 30
149 5 212, 149 5 210, 3, 4, 9.3802e-05, 30
149 5 212, 149 5 210, 3, 3, 8.5853e-05, 30
149 5 212, 149 5 210, 3, 5, 0.000114791, 30
149 5 212, 149 5 210, 3, 4, 0.000103183, 30
149 5 212, 149 5 210, 3, 4, 0.000109156, 30
149 5 212, 149 5 210, 3, 4, 0.000111312, 30
149 5 212, 149 5 210, 3, 21457, 0.297182, 30
149 5 212, 149 5 210, 3, 4, 0.000108919, 30
149 5 212, 149 5 210, 3, 4, 0.000113331, 30
149 5 212, 149 5 210, 3, 4, 9.5381e-05, 30
149 5 212, 149 5 210, 3, 4, 9.3807e-05, 30
149 5 212, 149 5 210, 3, 3, 9.3438e-05, 30
149 5 212, 149 5 210, 3, 4, 0.000120384, 30
149 5 212, 149 5 210, 3, 3, 8.7841e-05, 30
149 5 212, 149 5 210, 3, 4, 0.000105248, 30
149 5 212, 149 5 210, 3, 4, 9.395e-05, 30
149 5 212, 149 5 210, 3, 63628, 0.810371, 30
149 5 212, 149 5 210, 3, 20258, 0.288295, 30
149 5 212, 149 5 210, 3, 6, 0.000125271, 30
149 5 212, 149 5 210, 3, 4, 0.000142137, 30
149 5 212, 149 5 210, 3, 4, 0.000131276, 30
149 5 212, 149 5 210, 3, 20485, 0.331507, 30
149 5 212, 149 5 210, 3, 6, 0.000123103, 30
149 5 212, 149 5 210, 3, 4, 9.7739e-05, 30
149 5 212, 149 5 210, 3, 4, 9.9306e-05, 30
149 5 212, 149 5 210, 3, 10, 0.00016485, 30
149 5 212, 149 5 210, 3, 7, 0.000195006, 30
149 5 212, 149 5 210, 3, 26015, 0.355235, 30
149 5 212, 149 5 210, 3, 6, 0.000164344, 30
149 5 212, 149 5 210, 3, 8, 0.000218985, 30
149 5 212, 149 5 210, 3, 7, 0.000161394, 30
149 5 212, 149 5 210, 3, 6, 0.000120946, 30
149 5 212, 149 5 210, 3, 7, 0.000137972, 30
149 5 212, 149 5 210, 3, 7, 0.000137719, 30
149 5 212, 149 5 210, 3, 54665, 0.689687, 30
149 5 212, 149 5 210, 3, 14774, 0.2011, 30
149 5 212, 149 5 210, 3, 6, 0.00012635, 30
149 5 212, 149 5 210, 3, 4, 9.9058e-05, 30
