start, goal, path_length, nodes_visited, time, num_evax
124 38 103, 149 5 210, 2, 13089, 0.141568, 10
124 38 103, 149 5 210, 2, 2, 6.4137e-05, 10
124 38 103, 149 5 210, 2, 15536, 0.160436, 10
124 38 103, 149 5 210, 2, 22135, 0.187273, 10
124 38 103, 149 5 210, 2, 4012, 0.0336929, 10
124 38 103, 149 5 210, 2, 2929, 0.0243753, 10
124 38 103, 149 5 210, 2, 2, 6.4374e-05, 10
124 38 103, 149 5 210, 2, 2, 0.000112791, 10
124 38 103, 149 5 210, 2, 2, 0.000136795, 10
124 38 103, 149 5 210, 2, 2, 8.1131e-05, 10
124 38 103, 149 5 210, 2, 2, 8.0422e-05, 10
124 38 103, 149 5 210, 2, 9240, 0.0781803, 10
124 38 103, 149 5 210, 2, 4127, 0.0333984, 10
124 38 103, 149 5 210, 2, 2612, 0.0206783, 10
124 38 103, 149 5 210, 2, 2, 7.1904e-05, 10
124 38 103, 149 5 210, 2, 2, 7.9623e-05, 10
124 38 103, 149 5 210, 2, 14551, 0.129767, 10
124 38 103, 149 5 210, 2, 4245, 0.036232, 10
124 38 103, 149 5 210, 2, 2959, 0.0246223, 10
124 38 103, 149 5 210, 2, 2, 6.2719e-05, 10
124 38 103, 149 5 210, 2, 2, 9.3611e-05, 10
124 38 103, 149 5 210, 2, 93955, 0.792323, 10
124 38 103, 149 5 210, 2, 14026, 0.11088, 10
124 38 103, 149 5 210, 2, 10500, 0.0805473, 10
124 38 103, 149 5 210, 2, 86075, 0.738129, 10
124 38 103, 149 5 210, 2, 117371, 0.988158, 10
124 38 103, 149 5 210, 2, 20834, 0.16651, 10
124 38 103, 149 5 210, 2, 20834, 0.163035, 10
124 38 103, 149 5 210, 2, 20834, 0.173913, 10
124 38 103, 149 5 210, 2, 20834, 0.175603, 10
124 38 103, 149 5 210, 2, 20834, 0.171372, 10
124 38 103, 149 5 210, 2, 4163, 0.0317374, 10
124 38 103, 149 5 210, 2, 3326, 0.0250913, 10
124 38 103, 149 5 210, 2, 2, 0.000112798, 10
124 38 103, 149 5 210, 2, 2, 6.7869e-05, 10
124 38 103, 149 5 210, 2, 2, 7.2659e-05, 10
124 38 103, 149 5 210, 2, 2, 7.119e-05, 10
124 38 103, 149 5 210, 2, 2, 9.4263e-05, 10
124 38 103, 149 5 210, 2, 26830, 0.213082, 10
124 38 103, 149 5 210, 252, 76179, 0.628077, 10
150 4 211, 149 5 210, 3, 19, 0.000208536, 10
150 4 211, 149 5 210, 3, 166853, 1.54739, 10
150 4 211, 149 5 210, 3, 7, 0.000121276, 10
150 4 211, 149 5 210, 3, 7, 0.000116126, 10
150 4 211, 149 5 210, 3, 7, 0.000214634, 10
150 4 211, 149 5 210, 3, 7, 0.000130365, 10
150 4 211, 149 5 210, 3, 7, 0.000172585, 10
150 4 211, 149 5 210, 3, 7, 0.000184045, 10
150 4 211, 149 5 210, 3, 166745, 1.49057, 10
150 4 211, 149 5 210, 3, 6, 0.000109807, 10
150 4 211, 149 5 210, 3, 7, 0.000129592, 10
150 4 211, 149 5 210, 3, 7, 0.000163573, 10
150 4 211, 149 5 210, 3, 7, 0.000165594, 10
150 4 211, 149 5 210, 3, 7, 0.000113534, 10
150 4 211, 149 5 210, 3, 5, 9.7464e-05, 10
150 4 211, 149 5 210, 3, 7, 0.000160142, 10
150 4 211, 149 5 210, 3, 7, 0.00010734, 10
150 4 211, 149 5 210, 3, 7, 0.000201254, 10
150 4 211, 149 5 210, 3, 7, 0.000172091, 10
150 4 211, 149 5 210, 3, 5, 0.000170127, 10
150 4 211, 149 5 210, 3, 7, 0.000123781, 10
150 4 211, 149 5 210, 3, 7, 0.000198223, 10
150 4 211, 149 5 210, 3, 7, 0.000142939, 10
150 4 211, 149 5 210, 3, 7, 0.000185188, 10
150 4 211, 149 5 210, 3, 5, 0.000123077, 10
150 4 211, 149 5 210, 3, 7, 0.000271868, 10
150 4 211, 149 5 210, 3, 7, 0.000123127, 10
150 4 211, 149 5 210, 3, 7, 0.000129925, 10
150 4 211, 149 5 210, 3, 7, 0.000142102, 10
150 4 211, 149 5 210, 3, 5, 0.000104576, 10
150 4 211, 149 5 210, 3, 8, 0.000195247, 10
150 4 211, 149 5 210, 3, 7, 0.00012475, 10
150 4 211, 149 5 210, 3, 7, 0.00020506, 10
150 4 211, 149 5 210, 3, 7, 0.000172044, 10
150 4 211, 149 5 210, 3, 124737, 1.17237, 10
150 4 211, 149 5 210, 3, 7, 0.000130079, 10
150 4 211, 149 5 210, 3, 7, 0.000147046, 10
150 4 211, 149 5 210, 3, 7, 0.00012633, 10
150 4 211, 149 5 210, 3, 7, 0.000170578, 10
150 4 211, 149 5 210, 3, 7, 0.000123606, 10
150 4 211, 149 5 210, 3, 6, 0.00011506, 10
150 4 211, 149 5 210, 3, 7, 0.000126631, 10
150 4 211, 149 5 210, 3, 7, 0.000130962, 10
150 4 211, 149 5 210, 3, 7, 0.000150015, 10
150 4 211, 149 5 210, 3, 7, 0.000113805, 10
150 4 211, 149 5 210, 3, 6, 0.000149968, 10
150 4 211, 149 5 210, 3, 7, 0.000128125, 10
150 4 211, 149 5 210, 3, 7, 0.000143665, 10
150 4 211, 149 5 210, 3, 7, 0.000116764, 10
150 4 211, 149 5 210, 3, 7, 0.000120767, 10
