start, goal, path_length, nodes_visited, time, num_evax
47 38 234, 149 5 210, 2, 10980, 0.180538, 20
47 38 234, 149 5 210, 2, 8713, 0.113384, 20
47 38 234, 149 5 210, 2, 13897, 0.170103, 20
47 38 234, 149 5 210, 2, 5896, 0.0678278, 20
47 38 234, 149 5 210, 2, 8713, 0.0942944, 20
47 38 234, 149 5 210, 138, 53975, 0.607029, 20
148 5 211, 149 5 210, 2, 10, 0.000140285, 20
148 5 211, 149 5 210, 2, 4, 0.000101611, 20
148 5 211, 149 5 210, 2, 4, 0.000132358, 20
148 5 211, 149 5 210, 2, 4, 9.7729e-05, 20
148 5 211, 149 5 210, 2, 4, 0.0001301, 20
148 5 211, 149 5 210, 2, 4, 0.000106743, 20
148 5 211, 149 5 210, 2, 107980, 1.06586, 20
148 5 211, 149 5 210, 2, 3, 0.000138733, 20
148 5 211, 149 5 210, 2, 4, 0.000123715, 20
148 5 211, 149 5 210, 2, 4, 0.000129865, 20
148 5 211, 149 5 210, 2, 4, 9.1215e-05, 20
148 5 211, 149 5 210, 2, 22406, 0.231858, 20
148 5 211, 149 5 210, 2, 3, 0.000124056, 20
148 5 211, 149 5 210, 2, 3, 8.4466e-05, 20
148 5 211, 149 5 210, 2, 4, 0.000126938, 20
148 5 211, 149 5 210, 2, 4, 0.000165045, 20
148 5 211, 149 5 210, 2, 4, 0.000134329, 20
148 5 211, 149 5 210, 2, 4, 8.8099e-05, 20
148 5 211, 149 5 210, 2, 63347, 0.649557, 20
148 5 211, 149 5 210, 2, 4, 0.000113285, 20
148 5 211, 149 5 210, 2, 4, 0.000118437, 20
148 5 211, 149 5 210, 2, 4, 0.000255098, 20
148 5 211, 149 5 210, 2, 4, 0.000270332, 20
148 5 211, 149 5 210, 2, 4, 0.000277771, 20
148 5 211, 149 5 210, 2, 4, 0.00019614, 20
148 5 211, 149 5 210, 2, 4, 0.000224354, 20
148 5 211, 149 5 210, 2, 4, 0.000172753, 20
148 5 211, 149 5 210, 2, 3, 0.000127925, 20
148 5 211, 149 5 210, 2, 3, 8.9347e-05, 20
148 5 211, 149 5 210, 2, 4, 0.000119295, 20
148 5 211, 149 5 210, 2, 4, 0.000235878, 20
148 5 211, 149 5 210, 2, 4, 0.000127044, 20
148 5 211, 149 5 210, 2, 3, 0.000231642, 20
148 5 211, 149 5 210, 2, 4, 0.000127593, 20
148 5 211, 149 5 210, 2, 21221, 0.193492, 20
148 5 211, 149 5 210, 2, 21221, 0.210928, 20
148 5 211, 149 5 210, 2, 2, 9.869e-05, 20
148 5 211, 149 5 210, 2, 4, 0.000116291, 20
148 5 211, 149 5 210, 2, 3, 0.000119032, 20
148 5 211, 149 5 210, 2, 4, 0.000293141, 20
148 5 211, 149 5 210, 2, 3, 0.000149052, 20
148 5 211, 149 5 210, 2, 4, 9.5967e-05, 20
148 5 211, 149 5 210, 2, 20500, 0.202054, 20
148 5 211, 149 5 210, 2, 20649, 0.222201, 20
148 5 211, 149 5 210, 2, 2, 7.9164e-05, 20
148 5 211, 149 5 210, 2, 4, 0.000108463, 20
148 5 211, 149 5 210, 2, 3, 0.000221737, 20
148 5 211, 149 5 210, 2, 4, 0.000224384, 20
148 5 211, 149 5 210, 2, 4, 9.4424e-05, 20
148 5 211, 149 5 210, 2, 4, 0.000130424, 20
148 5 211, 149 5 210, 2, 3, 0.000120586, 20
148 5 211, 149 5 210, 2, 4, 0.000120359, 20
148 5 211, 149 5 210, 2, 4, 0.000123518, 20
