start, goal, path_length, nodes_visited, time, num_evax
45 38 194, 149 5 210, 2, 5630, 0.18208, 30
45 38 194, 149 5 210, 2, 12060, 0.234277, 30
45 38 194, 149 5 210, 2, 2, 5.3085e-05, 30
45 38 194, 149 5 210, 2, 6670, 0.0925833, 30
45 38 194, 149 5 210, 2, 10969, 0.150208, 30
45 38 194, 149 5 210, 2, 13107, 0.212433, 30
45 38 194, 149 5 210, 2, 2460, 0.0351772, 30
45 38 194, 149 5 210, 2, 9332, 0.126643, 30
45 38 194, 149 5 210, 2, 1867, 0.0194928, 30
45 38 194, 149 5 210, 2, 15397, 0.228455, 30
45 38 194, 149 5 210, 2, 2, 0.000510276, 30
45 38 194, 149 5 210, 2, 2, 6.0523e-05, 30
45 38 194, 149 5 210, 2, 6236, 0.0756746, 30
45 38 194, 149 5 210, 2, 14469, 0.192079, 30
45 38 194, 149 5 210, 2, 75552, 1.11124, 30
45 38 194, 149 5 210, 2, 1783, 0.0208738, 30
45 38 194, 149 5 210, 2, 1783, 0.0187346, 30
45 38 194, 149 5 210, 2, 1783, 0.0146194, 30
45 38 194, 149 5 210, 2, 1783, 0.0143608, 30
45 38 194, 149 5 210, 2, 1783, 0.025579, 30
45 38 194, 149 5 210, 2, 15786, 0.179726, 30
45 38 194, 149 5 210, 2, 2, 6.2372e-05, 30
45 38 194, 149 5 210, 2, 18451, 0.242925, 30
45 38 194, 149 5 210, 2, 2847, 0.0285828, 30
45 38 194, 149 5 210, 2, 2, 7.4837e-05, 30
45 38 194, 149 5 210, 2, 100848, 1.12206, 30
45 38 194, 149 5 210, 2, 2345, 0.0251052, 30
45 38 194, 149 5 210, 2, 10098, 0.112189, 30
45 38 194, 149 5 210, 2, 8128, 0.0988663, 30
45 38 194, 149 5 210, 2, 2, 6.1438e-05, 30
45 38 194, 149 5 210, 2, 22006, 0.298136, 30
45 38 194, 149 5 210, 2, 2, 6.284e-05, 30
45 38 194, 149 5 210, 2, 11334, 0.138428, 30
45 38 194, 149 5 210, 2, 8326, 0.109113, 30
45 38 194, 149 5 210, 2, 14513, 0.185734, 30
45 38 194, 149 5 210, 2, 48116, 0.661115, 30
45 38 194, 149 5 210, 2, 3718, 0.0385624, 30
45 38 194, 149 5 210, 2, 2458, 0.0282319, 30
45 38 194, 149 5 210, 2, 2, 6.7924e-05, 30
45 38 194, 149 5 210, 2, 29666, 0.385803, 30
45 38 194, 149 5 210, 2, 2325, 0.0283709, 30
45 38 194, 149 5 210, 2, 16067, 0.223075, 30
45 38 194, 149 5 210, 2, 4122, 0.0780198, 30
45 38 194, 149 5 210, 2, 21675, 0.300903, 30
45 38 194, 149 5 210, 2, 9883, 0.128186, 30
45 38 194, 149 5 210, 2, 2818, 0.0312888, 30
45 38 194, 149 5 210, 2, 2237, 0.0244989, 30
45 38 194, 149 5 210, 2, 2, 8.7122e-05, 30
45 38 194, 149 5 210, 2, 2, 5.3589e-05, 30
45 38 194, 149 5 210, 2, 2, 0.00037583, 30
45 38 194, 149 5 210, 2, 44286, 0.626829, 30
45 38 194, 149 5 210, 2, 3261, 0.0438719, 30
45 38 194, 149 5 210, 2, 21493, 0.323987, 30
45 38 194, 149 5 210, 2, 2, 5.7674e-05, 30
45 38 194, 149 5 210, 2, 2, 0.000168387, 30
45 38 194, 149 5 210, 2, 19904, 0.233964, 30
45 38 194, 149 5 210, 2, 2249, 0.0293503, 30
45 38 194, 149 5 210, 2, 11358, 0.121742, 30
45 38 194, 149 5 210, 2, 13043, 0.154771, 30
45 38 194, 149 5 210, 2, 2067, 0.0331694, 30
45 38 194, 149 5 210, 2, 66603, 0.799096, 30
45 38 194, 149 5 210, 2, 2, 6.4143e-05, 30
45 38 194, 149 5 210, 2, 11321, 0.133445, 30
45 38 194, 149 5 210, 2, 2, 7.1893e-05, 30
45 38 194, 149 5 210, 2, 12386, 0.151268, 30
45 38 194, 149 5 210, 2, 9457, 0.143262, 30
45 38 194, 149 5 210, 2, 4808, 0.0621282, 30
45 38 194, 149 5 210, 2, 3444, 0.0363058, 30
45 38 194, 149 5 210, 2, 21339, 0.253087, 30
45 38 194, 149 5 210, 2, 2376, 0.0483258, 30
45 38 194, 149 5 210, 2, 11688, 0.162523, 30
45 38 194, 149 5 210, 2, 3663, 0.0443383, 30
45 38 194, 149 5 210, 2, 15601, 0.206851, 30
45 38 194, 149 5 210, 2, 3022, 0.0344353, 30
45 38 194, 149 5 210, 2, 2, 6.0354e-05, 30
45 38 194, 149 5 210, 2, 2, 6.513e-05, 30
45 38 194, 149 5 210, 2, 3481, 0.0454175, 30
45 38 194, 149 5 210, 2, 3481, 0.0410525, 30
45 38 194, 149 5 210, 2, 57833, 0.722558, 30
45 38 194, 149 5 210, 2, 12893, 0.170249, 30
45 38 194, 149 5 210, 2, 18611, 0.219667, 30
45 38 194, 149 5 210, 2, 40968, 0.518006, 30
45 38 194, 149 5 210, 2, 2242, 0.0258562, 30
45 38 194, 149 5 210, 2, 25437, 0.282232, 30
45 38 194, 149 5 210, 2, 8423, 0.0887038, 30
45 38 194, 149 5 210, 2, 8423, 0.0919075, 30
45 38 194, 149 5 210, 2, 8423, 0.0788742, 30
45 38 194, 149 5 210, 2, 8423, 0.0909538, 30
45 38 194, 149 5 210, 2, 8423, 0.0881023, 30
45 38 194, 149 5 210, 2, 8423, 0.0831724, 30
45 38 194, 149 5 210, 2, 45453, 0.623283, 30
45 38 194, 149 5 210, 2, 2838, 0.0315733, 30
45 38 194, 149 5 210, 2, 2838, 0.0276145, 30
45 38 194, 149 5 210, 2, 2838, 0.0316492, 30
45 38 194, 149 5 210, 2, 14584, 0.21388, 30
45 38 194, 149 5 210, 2, 1692, 0.0228651, 30
45 38 194, 149 5 210, 2, 66776, 0.875246, 30
45 38 194, 149 5 210, 2, 14386, 0.22739, 30
45 38 194, 149 5 210, 2, 3373, 0.0393719, 30
45 38 194, 149 5 210, 2, 16113, 0.175179, 30
45 38 194, 149 5 210, 2, 47408, 0.606733, 30
45 38 194, 149 5 210, 2, 3168, 0.0392646, 30
45 38 194, 149 5 210, 2, 19930, 0.263856, 30
45 38 194, 149 5 210, 2, 9700, 0.143806, 30
45 38 194, 149 5 210, 2, 29251, 0.35956, 30
45 38 194, 149 5 210, 2, 10448, 0.166626, 30
45 38 194, 149 5 210, 2, 12344, 0.186368, 30
45 38 194, 149 5 210, 2, 2973, 0.0320436, 30
45 38 194, 149 5 210, 2, 2, 0.00119065, 30
45 38 194, 149 5 210, 2, 23208, 0.325565, 30
45 38 194, 149 5 210, 2, 3164, 0.0391471, 30
45 38 194, 149 5 210, 2, 4945, 0.0627751, 30
45 38 194, 149 5 210, 2, 12262, 0.140847, 30
45 38 194, 149 5 210, 2, 11909, 0.167746, 30
45 38 194, 149 5 210, 2, 21317, 0.317643, 30
45 38 194, 149 5 210, 2, 3028, 0.0474593, 30
45 38 194, 149 5 210, 2, 3028, 0.0385819, 30
45 38 194, 149 5 210, 2, 10204, 0.124929, 30
45 38 194, 149 5 210, 2, 3032, 0.0457706, 30
45 38 194, 149 5 210, 2, 3032, 0.049535, 30
45 38 194, 149 5 210, 2, 3032, 0.0347867, 30
45 38 194, 149 5 210, 2, 9432, 0.128662, 30
45 38 194, 149 5 210, 2, 10622, 0.154084, 30
