start, goal, path_length, nodes_visited, time, num_evax
119 70 78, 12 5 79, 2, 10599, 0.224116, 30
119 70 78, 12 5 79, 2, 2, 6.0505e-05, 30
119 70 78, 12 5 79, 2, 2, 6.9035e-05, 30
119 70 78, 12 5 79, 2, 8290, 0.0998899, 30
119 70 78, 12 5 79, 2, 3950, 0.0453595, 30
119 70 78, 12 5 79, 2, 9009, 0.211758, 30
119 70 78, 12 5 79, 2, 18035, 0.37151, 30
119 70 78, 12 5 79, 2, 9102, 0.136247, 30
119 70 78, 12 5 79, 2, 8011, 0.118834, 30
119 70 78, 12 5 79, 2, 8185, 0.115663, 30
119 70 78, 12 5 79, 2, 4459, 0.0708452, 30
119 70 78, 12 5 79, 2, 4379, 0.064465, 30
119 70 78, 12 5 79, 2, 8578, 0.104749, 30
119 70 78, 12 5 79, 2, 8301, 0.0968346, 30
119 70 78, 12 5 79, 2, 2, 5.7642e-05, 30
119 70 78, 12 5 79, 2, 4979, 0.0581993, 30
119 70 78, 12 5 79, 2, 8316, 0.113987, 30
119 70 78, 12 5 79, 2, 4364, 0.0755644, 30
119 70 78, 12 5 79, 2, 11942, 0.165945, 30
119 70 78, 12 5 79, 2, 8773, 0.121153, 30
119 70 78, 12 5 79, 2, 4707, 0.0743795, 30
119 70 78, 12 5 79, 2, 8696, 0.107763, 30
119 70 78, 12 5 79, 2, 4567, 0.0622417, 30
119 70 78, 12 5 79, 2, 15373, 0.27462, 30
119 70 78, 12 5 79, 2, 2, 5.6084e-05, 30
119 70 78, 12 5 79, 2, 15650, 0.242483, 30
119 70 78, 12 5 79, 2, 7981, 0.102773, 30
119 70 78, 12 5 79, 2, 8163, 0.108495, 30
119 70 78, 12 5 79, 2, 27087, 0.339079, 30
119 70 78, 12 5 79, 2, 8583, 0.115238, 30
119 70 78, 12 5 79, 2, 2, 7.6787e-05, 30
119 70 78, 12 5 79, 2, 11860, 0.14965, 30
119 70 78, 12 5 79, 2, 2, 5.422e-05, 30
119 70 78, 12 5 79, 2, 2, 5.0744e-05, 30
119 70 78, 12 5 79, 2, 11593, 0.157354, 30
119 70 78, 12 5 79, 2, 8634, 0.130364, 30
119 70 78, 12 5 79, 2, 9099, 0.145062, 30
119 70 78, 12 5 79, 2, 20185, 0.271025, 30
119 70 78, 12 5 79, 2, 4264, 0.0666413, 30
119 70 78, 12 5 79, 2, 8450, 0.126634, 30
119 70 78, 12 5 79, 2, 38221, 0.508634, 30
119 70 78, 12 5 79, 2, 2, 7.7062e-05, 30
119 70 78, 12 5 79, 2, 4017, 0.113428, 30
119 70 78, 12 5 79, 2, 7858, 0.109071, 30
119 70 78, 12 5 79, 2, 4673, 0.0752414, 30
119 70 78, 12 5 79, 2, 8424, 0.114294, 30
119 70 78, 12 5 79, 2, 3315, 0.0407475, 30
119 70 78, 12 5 79, 2, 8545, 0.113456, 30
119 70 78, 12 5 79, 2, 12299, 0.158277, 30
119 70 78, 12 5 79, 2, 9218, 0.115643, 30
119 70 78, 12 5 79, 2, 4960, 0.0661486, 30
119 70 78, 12 5 79, 2, 8150, 0.0999917, 30
119 70 78, 12 5 79, 2, 4150, 0.0478123, 30
119 70 78, 12 5 79, 2, 5064, 0.0662926, 30
119 70 78, 12 5 79, 2, 12387, 0.152888, 30
119 70 78, 12 5 79, 2, 4308, 0.0588755, 30
119 70 78, 12 5 79, 2, 10694, 0.131328, 30
119 70 78, 12 5 79, 2, 8166, 0.1071, 30
119 70 78, 12 5 79, 2, 7968, 0.0923272, 30
119 70 78, 12 5 79, 2, 3223, 0.032494, 30
119 70 78, 12 5 79, 2, 11797, 0.148288, 30
119 70 78, 12 5 79, 2, 3314, 0.0399261, 30
119 70 78, 12 5 79, 2, 10080, 0.124652, 30
119 70 78, 12 5 79, 2, 8600, 0.12143, 30
119 70 78, 12 5 79, 2, 3735, 0.0402739, 30
119 70 78, 12 5 79, 2, 24925, 0.314848, 30
119 70 78, 12 5 79, 2, 3599, 0.055509, 30
119 70 78, 12 5 79, 2, 8105, 0.107931, 30
119 70 78, 12 5 79, 2, 3377, 0.0436924, 30
119 70 78, 12 5 79, 2, 3592, 0.0576713, 30
119 70 78, 12 5 79, 2, 7626, 0.0964814, 30
119 70 78, 12 5 79, 2, 29744, 0.380492, 30
119 70 78, 12 5 79, 2, 8407, 0.122304, 30
119 70 78, 12 5 79, 2, 4856, 0.0623636, 30
119 70 78, 12 5 79, 2, 15602, 0.215247, 30
119 70 78, 12 5 79, 2, 4392, 0.0608536, 30
119 70 78, 12 5 79, 2, 5028, 0.0647867, 30
119 70 78, 12 5 79, 2, 10779, 0.146886, 30
119 70 78, 12 5 79, 2, 4002, 0.0749985, 30
119 70 78, 12 5 79, 2, 9797, 0.148864, 30
119 70 78, 12 5 79, 2, 4404, 0.0633507, 30
119 70 78, 12 5 79, 2, 20719, 0.279449, 30
119 70 78, 12 5 79, 2, 4123, 0.0529576, 30
119 70 78, 12 5 79, 2, 7893, 0.105631, 30
119 70 78, 12 5 79, 2, 5340, 0.0884779, 30
119 70 78, 12 5 79, 2, 15901, 0.201386, 30
119 70 78, 12 5 79, 2, 2, 8.8961e-05, 30
119 70 78, 12 5 79, 2, 16556, 0.194848, 30
119 70 78, 12 5 79, 2, 4722, 0.0554426, 30
119 70 78, 12 5 79, 2, 8876, 0.109893, 30
119 70 78, 12 5 79, 2, 3569, 0.041645, 30
119 70 78, 12 5 79, 2, 9107, 0.136735, 30
