start, goal, path_length, nodes_visited, time, num_evax
111 5 127, 149 5 210, 2, 8193, 0.192982, 30
111 5 127, 149 5 210, 2, 2, 0.0043964, 30
111 5 127, 149 5 210, 2, 2, 0.000103937, 30
111 5 127, 149 5 210, 2, 9808, 0.118189, 30
111 5 127, 149 5 210, 2, 2, 0.000191999, 30
111 5 127, 149 5 210, 2, 2, 0.000102867, 30
111 5 127, 149 5 210, 2, 2, 0.000103534, 30
111 5 127, 149 5 210, 2, 14731, 0.197183, 30
111 5 127, 149 5 210, 2, 15718, 0.169283, 30
111 5 127, 149 5 210, 2, 2, 8.7381e-05, 30
111 5 127, 149 5 210, 2, 2, 8.7258e-05, 30
111 5 127, 149 5 210, 2, 2, 8.8717e-05, 30
111 5 127, 149 5 210, 2, 25889, 0.410735, 30
111 5 127, 149 5 210, 2, 2, 9.778e-05, 30
111 5 127, 149 5 210, 2, 2, 9.4425e-05, 30
111 5 127, 149 5 210, 2, 2, 8.6076e-05, 30
111 5 127, 149 5 210, 2, 18451, 0.227058, 30
111 5 127, 149 5 210, 2, 5229, 0.0832327, 30
111 5 127, 149 5 210, 2, 12008, 0.147736, 30
111 5 127, 149 5 210, 2, 2, 0.000137047, 30
111 5 127, 149 5 210, 2, 2, 7.1509e-05, 30
111 5 127, 149 5 210, 2, 2, 8.4622e-05, 30
111 5 127, 149 5 210, 2, 2, 8.7716e-05, 30
111 5 127, 149 5 210, 2, 2, 7.7334e-05, 30
111 5 127, 149 5 210, 2, 2, 8.9071e-05, 30
111 5 127, 149 5 210, 2, 2, 8.7907e-05, 30
111 5 127, 149 5 210, 2, 2, 9.0588e-05, 30
111 5 127, 149 5 210, 2, 2, 9.4408e-05, 30
111 5 127, 149 5 210, 2, 19963, 0.235926, 30
111 5 127, 149 5 210, 2, 25875, 0.301106, 30
111 5 127, 149 5 210, 2, 21270, 0.317087, 30
111 5 127, 149 5 210, 2, 2, 0.000126548, 30
111 5 127, 149 5 210, 2, 2, 9.0951e-05, 30
111 5 127, 149 5 210, 2, 13282, 0.163649, 30
111 5 127, 149 5 210, 165, 53461, 0.619931, 30
150 4 211, 149 5 210, 3, 41718, 0.553158, 30
150 4 211, 149 5 210, 3, 7, 0.000303235, 30
150 4 211, 149 5 210, 3, 7, 0.000175267, 30
150 4 211, 149 5 210, 3, 7, 0.000207364, 30
150 4 211, 149 5 210, 3, 4, 0.000142203, 30
150 4 211, 149 5 210, 3, 8, 0.000188378, 30
150 4 211, 149 5 210, 3, 8, 0.000191557, 30
150 4 211, 149 5 210, 3, 7, 0.000178892, 30
150 4 211, 149 5 210, 3, 7, 0.000195443, 30
150 4 211, 149 5 210, 3, 6, 0.000267829, 30
150 4 211, 149 5 210, 3, 7, 0.000174928, 30
150 4 211, 149 5 210, 3, 21116, 0.278163, 30
150 4 211, 149 5 210, 3, 7, 0.000260382, 30
150 4 211, 149 5 210, 3, 7, 0.000186981, 30
150 4 211, 149 5 210, 3, 4, 0.000195964, 30
150 4 211, 149 5 210, 3, 7, 0.000173861, 30
150 4 211, 149 5 210, 3, 4, 0.000135185, 30
150 4 211, 149 5 210, 3, 7, 0.000220024, 30
150 4 211, 149 5 210, 3, 5, 0.000181404, 30
150 4 211, 149 5 210, 3, 3, 0.000143027, 30
150 4 211, 149 5 210, 3, 7, 0.00017744, 30
150 4 211, 149 5 210, 3, 7, 0.000162057, 30
150 4 211, 149 5 210, 3, 7, 0.000170441, 30
150 4 211, 149 5 210, 3, 7, 0.000178471, 30
150 4 211, 149 5 210, 3, 5, 0.000152392, 30
150 4 211, 149 5 210, 3, 7, 0.000259912, 30
150 4 211, 149 5 210, 3, 4, 0.000146344, 30
150 4 211, 149 5 210, 3, 8, 0.000186351, 30
150 4 211, 149 5 210, 3, 7, 0.000188329, 30
150 4 211, 149 5 210, 3, 5, 0.000143521, 30
150 4 211, 149 5 210, 3, 7, 0.000154107, 30
150 4 211, 149 5 210, 3, 5, 0.000163811, 30
150 4 211, 149 5 210, 3, 4, 0.000736709, 30
150 4 211, 149 5 210, 3, 10, 0.000515849, 30
150 4 211, 149 5 210, 3, 4, 0.000159638, 30
150 4 211, 149 5 210, 3, 8, 0.000197794, 30
150 4 211, 149 5 210, 3, 8, 0.000193239, 30
150 4 211, 149 5 210, 3, 8, 0.000181768, 30
150 4 211, 149 5 210, 3, 9, 0.000374082, 30
150 4 211, 149 5 210, 3, 6, 0.000155626, 30
150 4 211, 149 5 210, 3, 9, 0.000235291, 30
150 4 211, 149 5 210, 3, 4, 0.000331948, 30
150 4 211, 149 5 210, 3, 9, 0.00016745, 30
150 4 211, 149 5 210, 3, 9, 0.00024408, 30
150 4 211, 149 5 210, 3, 6, 0.000158185, 30
150 4 211, 149 5 210, 3, 9, 0.00018876, 30
150 4 211, 149 5 210, 3, 7, 0.000186224, 30
150 4 211, 149 5 210, 3, 10, 0.000270743, 30
150 4 211, 149 5 210, 3, 6, 0.000164772, 30
150 4 211, 149 5 210, 3, 10, 0.00024972, 30
150 4 211, 149 5 210, 3, 10, 0.000222917, 30
150 4 211, 149 5 210, 3, 8, 0.000308236, 30
150 4 211, 149 5 210, 3, 10, 0.000228163, 30
150 4 211, 149 5 210, 2, 4, 0.00019961, 30
150 4 211, 149 5 210, 2, 9, 0.000192732, 30
150 4 211, 149 5 210, 2, 6, 0.000152218, 30
150 4 211, 149 5 210, 2, 9, 0.000191324, 30
150 4 211, 149 5 210, 2, 9, 0.000198469, 30
150 4 211, 149 5 210, 2, 9, 0.000191264, 30
150 4 211, 149 5 210, 2, 5, 0.000265553, 30
150 4 211, 149 5 210, 2, 6, 0.000159788, 30
150 4 211, 149 5 210, 5, 10, 0.000155395, 30
149 3 210, 149 5 210, 3, 10, 0.000206266, 30
149 3 210, 149 5 210, 3, 10, 0.000273513, 30
149 3 210, 149 5 210, 3, 9, 0.000346422, 30
149 3 210, 149 5 210, 3, 8, 0.000841265, 30
149 3 210, 149 5 210, 3, 8, 0.000244831, 30
149 3 210, 149 5 210, 3, 7, 0.000190658, 30
149 3 210, 149 5 210, 3, 7, 0.000207762, 30
149 3 210, 149 5 210, 3, 3, 0.000125436, 30
149 3 210, 149 5 210, 3, 7, 0.000188625, 30
149 3 210, 149 5 210, 3, 7, 0.000203608, 30
149 3 210, 149 5 210, 3, 3, 0.00018942, 30
149 3 210, 149 5 210, 3, 7, 0.000171212, 30
149 3 210, 149 5 210, 3, 7, 0.000264929, 30
149 3 210, 149 5 210, 3, 3, 0.000130441, 30
149 3 210, 149 5 210, 3, 7, 0.000191332, 30
149 3 210, 149 5 210, 3, 7, 0.000179909, 30
149 3 210, 149 5 210, 3, 97273, 1.1958, 30
149 3 210, 149 5 210, 3, 7, 0.000220644, 30
149 3 210, 149 5 210, 3, 7, 0.000126119, 30
149 3 210, 149 5 210, 3, 7, 0.000138727, 30
149 3 210, 149 5 210, 3, 7, 0.000153871, 30
