PID,DATE,TIME,ELAPSED,CPU,MEM,RSS,VSIZE,CMD
15768,03/05/2022,16:00:05,31:12:00,892.2,39.7,6655268,122937588,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:06,31:13:00,928.2,41.9,7037396,124522036,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:07,31:14:00,879.5,43.1,7223912,126619012,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:08,31:15:00,985.6,43.5,7304232,128710024,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:09,31:16:00,888.1,45.1,7559252,130283000,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:10,31:18:00,992.3,44.4,7453008,132396192,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:12,31:19:00,905,43.5,7296276,133968328,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:13,31:20:00,964.8,42.7,7160336,135540668,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:14,31:21:00,1053.1,43.9,7373540,13763782,0  /Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:15,31:22:00,938.7,44.6,7478396,139217852,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:16,31:23:00,965.5,44.3,7428336,141315004,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:17,31:24:00,954.3,43.5,7294220,142887868,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:18,31:25:00,1036.1,42.5,7133672,14446073,2  /Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:19,31:27:00,1027.4,41.6,6983624,14603359,6  /Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:21,31:28:00,1019.2,40.8,6852616,14760673,6  /Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:22,31:29:00,1021.8,40,6716940,14917960,0  /Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:23,31:30:00,1020.2,39.2,6580164,15075246,4  /Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:24,31:31:00,993.4,38.3,6431992,152325328,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:25,31:32:00,921.3,37.5,6291508,153911504,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
15768,03/05/2022,16:00:26,31:33:00,1059.2,39.6,6647564,15600865,6  /Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
