PID,DATE,TIME,ELAPSED,CPU,MEM,RSS,VSIZE,CMD
16503,03/05/2022,16:03:34,01:13,1070.6,3.5,579244,36296560,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:35,01:14,1146.5,3.5,578964,36296256,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:36,01:15,1150.7,3.5,579040,36296308,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:37,01:16,1157.3,3.5,579064,36296308,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:38,01:17,1113.5,3.5,579584,36296804,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:39,01:18,1161.4,3.5,579364,36296560,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:40,01:19,1177,3.5,578992,36296164,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:42,01:21,1180.2,3.5,579084,36296236,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:43,01:22,1168.2,3.5,579352,36296480,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:44,01:23,1088.8,3.5,579792,36296896,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:45,01:24,1161.7,3.5,579768,36296848,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:46,01:25,1159.4,3.4,578788,36295848,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
16503,03/05/2022,16:03:47,01:26,1172.7,3.5,578872,36295908,/Users/michieldejong/Documents/Graduation/Simulator/cmake-build-debug/Debug/bin/Simulator
