start, goal, path_length, nodes_visited, time
47 5 234, 149 5 210, 132, 12380, 0.671045
47 5 234, 149 5 210, 132, 6080, 0.423065
47 5 234, 149 5 210, 132, 6080, 0.374494
47 5 234, 149 5 210, 132, 6080, 0.403156
47 5 234, 149 5 210, 249, 9802, 0.761141
47 5 234, 149 5 210, 132, 6080, 0.462841
47 5 234, 149 5 210, 132, 6080, 0.410193
47 5 234, 149 5 210, 132, 20864, 2.17795
47 5 234, 149 5 210, 132, 6080, 0.305809
47 5 234, 149 5 210, 132, 6910, 0.534653
47 5 234, 149 5 210, 132, 6080, 0.608412
47 5 234, 149 5 210, 132, 6080, 0.402432
47 5 234, 149 5 210, 132, 6080, 0.381957
47 5 234, 149 5 210, 132, 6080, 0.43461
47 5 234, 149 5 210, 132, 6080, 0.710233
