start, goal, path_length, nodes_visited, time
131 5 235, 149 5 210, 29, 606, 0.0133246
131 5 235, 149 5 210, 29, 606, 0.0807787
131 5 235, 149 5 210, 29, 606, 0.00500211
131 5 235, 149 5 210, 29, 606, 0.030443
131 5 235, 149 5 210, 29, 606, 0.00574209
131 5 235, 149 5 210, 29, 606, 0.0210499
131 5 235, 149 5 210, 29, 606, 0.00587007
131 5 235, 149 5 210, 29, 777, 0.0129435
131 5 235, 149 5 210, 29, 606, 0.00872077
131 5 235, 149 5 210, 29, 606, 0.038193
131 5 235, 149 5 210, 29, 606, 0.00743473
131 5 235, 149 5 210, 29, 606, 0.0244966
131 5 235, 149 5 210, 29, 1340, 0.0299041
131 5 235, 149 5 210, 29, 604, 0.00932336
131 5 235, 149 5 210, 29, 606, 0.0226151
131 5 235, 149 5 210, 29, 606, 0.0746609
131 5 235, 149 5 210, 29, 604, 0.00457516
131 5 235, 149 5 210, 29, 606, 0.0422273
131 5 235, 149 5 210, 29, 604, 0.0787138
