start, goal, path_length, nodes_visited, time, num_evax
131 38 235, 149 5 210, 180, 14238, 1.16009, 15
131 38 235, 149 5 210, 182, 14348, 0.714708, 15
131 38 235, 149 5 210, 176, 14343, 0.360818, 15
131 38 235, 149 5 210, 182, 14343, 0.847619, 15
131 38 235, 149 5 210, 182, 14343, 0.528585, 15
131 38 235, 149 5 210, 172, 14343, 0.980585, 15
131 38 235, 149 5 210, 182, 14343, 0.768404, 15
131 38 235, 149 5 210, 178, 14343, 0.861185, 15
131 38 235, 149 5 210, 176, 14343, 1.36293, 15
131 38 235, 149 5 210, 182, 14343, 0.316724, 15
131 38 235, 149 5 210, 179, 14343, 0.865327, 15
131 38 235, 149 5 210, 182, 14343, 0.462629, 15
131 38 235, 149 5 210, 182, 14343, 0.569084, 15
131 38 235, 149 5 210, 182, 14343, 1.16518, 15
