start, goal, path_length, nodes_visited, time, num_evax
47 5 234, 149 5 210, 109, 2372, 0.350988, 30
47 5 234, 149 5 210, 109, 2374, 0.550894, 30
47 5 234, 149 5 210, 109, 2377, 0.482236, 30
47 5 234, 149 5 210, 109, 2386, 0.512708, 30
47 5 234, 149 5 210, 109, 2372, 0.440004, 30
47 5 234, 149 5 210, 109, 2386, 0.575367, 30
47 5 234, 149 5 210, 109, 2372, 0.614421, 30
47 5 234, 149 5 210, 109, 2372, 0.589609, 30
47 5 234, 149 5 210, 109, 2372, 0.56436, 30
47 5 234, 149 5 210, 109, 2372, 0.716154, 30
47 5 234, 149 5 210, 109, 2372, 0.551755, 30
47 5 234, 149 5 210, 109, 2372, 0.64034, 30
47 5 234, 149 5 210, 109, 2373, 0.39486, 30
47 5 234, 149 5 210, 109, 2372, 0.572287, 30
47 5 234, 149 5 210, 109, 2372, 0.473678, 30
47 5 234, 149 5 210, 109, 2372, 0.615391, 30
47 5 234, 149 5 210, 109, 2377, 0.785056, 30
47 5 234, 149 5 210, 109, 2372, 0.868766, 30
