start, goal, path_length, nodes_visited, time, num_evax
50 5 158, 12 5 79, 122, 7829, 1.2492, 30
50 5 158, 12 5 79, 122, 7829, 1.51976, 30
50 5 158, 12 5 79, 122, 7829, 1.55318, 30
50 5 158, 12 5 79, 122, 7757, 1.61024, 30
50 5 158, 12 5 79, 122, 7829, 1.16293, 30
50 5 158, 12 5 79, 122, 7829, 1.69388, 30
50 5 158, 12 5 79, 122, 7829, 1.46293, 30
50 5 158, 12 5 79, 122, 7829, 1.47927, 30
50 5 158, 12 5 79, 122, 7823, 1.90079, 30
50 5 158, 12 5 79, 122, 7829, 0.790969, 30
50 5 158, 12 5 79, 122, 7829, 1.5838, 30
50 5 158, 12 5 79, 122, 7829, 1.55756, 30
